               ASSET	 TYPE	 PROD	              distVE	                SSVE	                 TVE
   0.000000000000000	    0	    0	   0.000000000000000	   0.000000000000000	   0.000000000000000
   0.000000000000000	    1	    0	   0.000000000000000	   0.000000000000000	   0.000000000000000
   0.028895878633786	    0	    0	   0.000000000000000	   0.000000000000000	   0.000000000000000
   0.028895878633786	    1	    0	   0.000000000000000	   0.000000000000000	   0.000000000000000
   0.058626729069591	    0	    0	   0.000000079487581	   0.000781041608913	  -0.000598816930426
   0.058626729069591	    1	    0	   0.000000079487581	   0.000781041608913	  -0.000598816930426
   0.089216678551268	    0	    0	   0.000000215396513	   0.000812204450290	  -0.000622250681271
   0.089216678551268	    1	    0	   0.000000215396513	   0.000812204450290	  -0.000622250681271
   0.120690551500581	    0	    0	   0.000000386711806	   0.000835254950142	  -0.000639583704788
   0.120690551500581	    1	    0	   0.000000386711806	   0.000835254950142	  -0.000639583704788
   0.153073889662773	    0	    0	   0.000001440429579	   0.000860805897666	  -0.000658796534103
   0.153073889662773	    1	    0	   0.000001440429579	   0.000860805897666	  -0.000658796534103
   0.186392972834257	    0	    0	   0.000000596330987	   0.000864275481768	  -0.000661405425272
   0.186392972834257	    1	    0	   0.000000596330987	   0.000864275481768	  -0.000661405425272
   0.220674840189252	    0	    0	   0.000002401252252	   0.000886704021862	  -0.000678269961411
   0.220674840189252	    1	    0	   0.000002401252252	   0.000886704021862	  -0.000678269961411
   0.255947312222677	    0	    0	   0.000000439413165	   0.000883652477424	  -0.000675975455180
   0.255947312222677	    1	    0	   0.000000439413165	   0.000883652477424	  -0.000675975455180
   0.292239013327094	    0	    0	   0.000001661094061	   0.000903964737328	  -0.000691248455280
   0.292239013327094	    1	    0	   0.000001661094061	   0.000903964737328	  -0.000691248455280
   0.329579395022038	    0	    0	   0.000000595615045	   0.000898005641369	  -0.000686767778312
   0.329579395022038	    1	    0	   0.000000595615045	   0.000898005641369	  -0.000686767778312
   0.367998759854577	    0	    0	   0.000002346736746	   0.001054064114868	  -0.000686944940036
   0.367998759854577	    1	    0	   0.000002346736746	   0.001054064114868	  -0.000686944940036
   0.407528285990505	    0	    0	   0.000000677602935	   0.000909308764043	  -0.000695266637509
   0.407528285990505	    1	    0	   0.000000677602935	   0.000909308764043	  -0.000695266637509
   0.448200052516108	    0	    0	   0.000002638681171	   0.001067458303680	  -0.000695371312102
   0.448200052516108	    1	    0	   0.000002638681171	   0.001067458303680	  -0.000695371312102
   0.490047065471057	    0	    0	   0.000000540021209	   0.000983247797039	  -0.000688208685126
   0.490047065471057	    1	    0	   0.000000540021209	   0.000983247797039	  -0.000688208685126
   0.533103284633538	    0	    0	   0.000001863775055	   0.001040325935753	  -0.000683206771540
   0.533103284633538	    1	    0	   0.000001863775055	   0.001040325935753	  -0.000683206771540
   0.577403651079368	    0	    0	   0.000000584480865	   0.000992875250392	  -0.000694745261146
   0.577403651079368	    1	    0	   0.000000584480865	   0.000992875250392	  -0.000694745261146
   0.622984115537448	    0	    0	   0.000002027233666	   0.001014362775799	  -0.000676809347730
   0.622984115537448	    1	    0	   0.000002027233666	   0.001014362775799	  -0.000676809347730
   0.669881667564581	    0	    0	   0.000000739082876	   0.000964788621876	  -0.000681342606853
   0.669881667564581	    1	    0	   0.000000739082876	   0.000964788621876	  -0.000681342606853
   0.718134365563312	    0	    0	   0.000002421420948	   0.001010854618611	  -0.000676371636095
   0.718134365563312	    1	    0	   0.000002421420948	   0.001010854618611	  -0.000676371636095
   0.767781367667167	    0	    0	   0.000000810206583	   0.000972412537967	  -0.000686533864759
   0.767781367667167	    1	    0	   0.000000810206583	   0.000972412537967	  -0.000686533864759
   0.818862963518346	    0	    0	   0.000002706275312	   0.000993194330721	  -0.000656606847652
   0.818862963518346	    1	    0	   0.000002706275312	   0.000993194330721	  -0.000656606847652
   0.871420606963662	    0	    0	   0.000000650005340	   0.000937904945822	  -0.000675620834713
   0.871420606963662	    1	    0	   0.000000650005340	   0.000937904945822	  -0.000675620834713
   0.925496949695250	    0	    0	   0.000001996209676	   0.000980542739234	  -0.000648024262197
   0.925496949695250	    1	    0	   0.000001996209676	   0.000980542739234	  -0.000648024262197
   0.981135875863370	    0	    0	   0.000000691123383	   0.000932257034959	  -0.000668743497209
   0.981135875863370	    1	    0	   0.000000691123383	   0.000932257034959	  -0.000668743497209
   1.038382537689358	    0	    0	   0.000002065245426	   0.000956518618459	  -0.000636332969861
   1.038382537689358	    1	    0	   0.000002065245426	   0.000956518618459	  -0.000636332969861
   1.097283392107659	    0	    0	   0.000000850045975	   0.000923525888544	  -0.000662715259270
   1.097283392107659	    1	    0	   0.000000850045975	   0.000923525888544	  -0.000662715259270
   1.157886238466658	    0	    0	   0.000002374976788	   0.000912723793639	  -0.000601479333353
   1.157886238466658	    1	    0	   0.000002374976788	   0.000912723793639	  -0.000601479333353
   1.220240257318908	    0	    0	   0.000000861881340	   0.000902085565678	  -0.000655104220515
   1.220240257318908	    1	    0	   0.000000861881340	   0.000902085565678	  -0.000655104220515
   1.284396050332241	    0	    0	   0.000002383066241	   0.000922903842737	  -0.000610640956288
   1.284396050332241	    1	    0	   0.000002383066241	   0.000922903842737	  -0.000610640956288
   1.350405681354142	    0	    0	   0.000001481841506	   0.000868934546043	  -0.000642426767042
   1.350405681354142	    1	    0	   0.000001481841506	   0.000868934546043	  -0.000642426767042
   1.418322718662713	    0	    0	   0.000002539858362	   0.000915169710568	  -0.000601381360075
   1.418322718662713	    1	    0	   0.000002539858362	   0.000915169710568	  -0.000601381360075
