   R	   W	   T	   K	   L	   E	   U	   
   0.057688258463640	   1.200363390425356	   0.010446298367941	   5.036197604700030	   0.877810214404596	   0.074337548852433	   0.052458167206997	
   0.057598451051283	   1.200878943448103	   0.010446195628465	   5.035648162176610	   0.876668139544884	   0.074070353239528	   0.053830691580837	
   0.057589606652539	   1.200929749342393	   0.010446195628447	   5.033036394401521	   0.876110486095873	   0.073911272609224	   0.054488847098942	
   0.057624033498120	   1.200732020921103	   0.010446195628429	   5.030067074459136	   0.875994188346725	   0.073776004306720	   0.054707269254717	
   0.057668463043815	   1.200476976232933	   0.010446195628411	   5.027352682250396	   0.876038256232307	   0.073655098348558	   0.054767768598587	
   0.057711246678710	   1.200231521955377	   0.010446195628393	   5.024989280508668	   0.876123932002369	   0.073544099496847	   0.054783918698524	
   0.057750158298215	   1.200008402859659	   0.010446195628375	   5.022931289993815	   0.876217500558120	   0.073440393848501	   0.054787957817997	
   0.057785259324169	   1.199807232510433	   0.010446195628357	   5.021126585265049	   0.876310691372846	   0.073342379309503	   0.054788442362516	
   0.057817345597854	   1.199623422189119	   0.010446195628339	   5.019510390444292	   0.876401531855936	   0.073249208031216	   0.054787535663006	
   0.057833648053199	   1.199530061459610	   0.010446195628321	   5.018928184594328	   0.876489346193839	   0.073155071754916	   0.054791484761366	
   0.057857525560727	   1.199393356415626	   0.010446195628303	   5.017811164187055	   0.876571742286319	   0.073067854369702	   0.054793612610323	
   0.057883151197922	   1.199246691002117	   0.010446195628285	   5.016557569450836	   0.876650493103070	   0.072985316799468	   0.054795072694754	
   0.057908007873813	   1.199104474240420	   0.010446195628267	   5.015339900797781	   0.876726477775357	   0.072906411039382	   0.054796253801116	
   0.057931250256475	   1.198971535987974	   0.010446195628249	   5.014216364934645	   0.876800063922025	   0.072830635433400	   0.054797286070515	
   0.057952846323817	   1.198848050767005	   0.010446195628231	   5.013189661901164	   0.876871373406390	   0.072757763611191	   0.054798173088054	
   0.057973022559571	   1.198732715987306	   0.010446195628213	   5.012244617967887	   0.876940402339453	   0.072687700662039	   0.054798885159309	
   0.057992000877421	   1.198624257073973	   0.010446195628195	   5.011366126810138	   0.877007100311313	   0.072620389376513	   0.054799406191203	
   0.058010015222750	   1.198521332367178	   0.010446195628177	   5.010538384354210	   0.877071429963591	   0.072555789166818	   0.054799718474261	
   0.058027247969717	   1.198422896282851	   0.010446195628159	   5.009749220590069	   0.877133387235671	   0.072493843730651	   0.054799815362409	
   0.058043838671452	   1.198328148875509	   0.010446195628141	   5.008989453073227	   0.877192991084411	   0.072434486407923	   0.054799697762336	
   0.058059900368799	   1.198236442366766	   0.010446195628123	   5.008251766081095	   0.877250277522323	   0.072377639083017	   0.054799375809555	
   0.058075527810471	   1.198147234011127	   0.010446195628105	   5.007530152483101	   0.877305297860045	   0.072323234680207	   0.054798846839812	
   0.058090775657111	   1.198060210332089	   0.010446195628087	   5.006821385142262	   0.877358123927527	   0.072271176420793	   0.054798125001094	
   0.058105726055088	   1.197974901320112	   0.010446195628069	   5.006120416758431	   0.877408826907687	   0.072221384478626	   0.054797213335274	
   0.058120415148859	   1.197891099777721	   0.010446195628051	   5.005425304642591	   0.877457487292407	   0.072173768068431	   0.054796121990123	
   0.058134876588955	   1.197808612909104	   0.010446195628033	   5.004734266991199	   0.877504184445019	   0.072128239851334	   0.054794860174353	
   0.058149131823223	   1.197727317662138	   0.010446195628015	   5.004046333821716	   0.877548998126025	   0.072084714137250	   0.054793436516865	
   0.058163206695240	   1.197647066026584	   0.010446195627997	   5.003360218362410	   0.877592003341833	   0.072043109648529	   0.054791858850895	
   0.058177120793617	   1.197567745764881	   0.010446195627979	   5.002675048488449	   0.877633275008366	   0.072003347985523	   0.054790134835260	
   0.058190887748830	   1.197489278684642	   0.010446195627961	   5.001990323307077	   0.877672883872782	   0.071965353854744	   0.054788272863858	
   0.058204522064503	   1.197411581680208	   0.010446195627943	   5.001305462575170	   0.877710896780592	   0.071929055985066	   0.054786280532862	
   0.058218032476229	   1.197334604571140	   0.010446195627925	   5.000620261809074	   0.877747379498259	   0.071894385294479	   0.054784165096186	
   0.058231423391882	   1.197258321867527	   0.010446195627907	   4.999934777213989	   0.877782393303293	   0.071861278175014	   0.054781932853913	
   0.058244701152004	   1.197182697094025	   0.010446195627889	   4.999248905208695	   0.877815993829570	   0.071829674375065	   0.054779590516172	
   0.058257869875860	   1.197107706452017	   0.010446195627871	   4.998562694192731	   0.877848237606332	   0.071799514300455	   0.054777144427359	
   0.058270933823219	   1.197033325362269	   0.010446195627853	   4.997876147111138	   0.877879174802593	   0.071770743913996	   0.054774600581530	
   0.058283895339975	   1.196959540159054	   0.010446195627835	   4.997189395215748	   0.877908855921321	   0.071743309722486	   0.054771965095783	
   0.058296755819675	   1.196886342608369	   0.010446195627817	   4.996502595653372	   0.877937324981787	   0.071717163484250	   0.054769243429472	
   0.058309512917632	   1.196813745755476	   0.010446195627799	   4.995816168454463	   0.877964628872778	   0.071692255256325	   0.054766441046098	
   0.058322167701710	   1.196741743224242	   0.010446195627781	   4.995130277914121	   0.877990809158380	   0.071668539879692	   0.054763563271104	
   0.058334719802502	   1.196670336820815	   0.010446195627763	   4.994445166737385	   0.878015904540851	   0.071645973737940	   0.054760615714347	
   0.058347166514515	   1.196599541638721	   0.010446195627745	   4.993761230453368	   0.878039953542598	   0.071624514895882	   0.054757603751033	
   0.058359507657431	   1.196529358404662	   0.010446195627727	   4.993078668663092	   0.878062989557548	   0.071604126503790	   0.054754532001180	
