   R	                   W	                   T	                   K	                   L	                   E	                   U	
   0.057688258463640	   1.200363390425356	   0.010446298367941	   5.036197604700030	   0.877810214404596	   0.074337548852433	   0.052458167206997	
   0.057612203227976	   1.200799957102127	   0.012975715948405	   5.034031237198160	   0.876546785221019	   0.074182973379530	   0.053840620822344	
   0.057613203316297	   1.200794213608146	   0.013597889549103	   5.030242426576422	   0.875898698888990	   0.074103381914892	   0.054510230784887	
   0.057654272625414	   1.200558418943702	   0.013758236672503	   5.026445062715505	   0.875715061202759	   0.074028304978058	   0.054736696049600	
   0.057703109036881	   1.200278197699822	   0.013805362468003	   5.023148787702996	   0.875708434323625	   0.073952742424600	   0.054802479027597	
   0.057748591228081	   1.200017386160459	   0.013821740391211	   5.020385239942140	   0.875755147811440	   0.073876274240927	   0.054822139487295	
   0.057789017346964	   1.199785700091865	   0.013827994612637	   5.018054273648545	   0.875818157364890	   0.073799425766940	   0.054828749638703	
   0.057824863969873	   1.199580363471984	   0.013830290306361	   5.016063360202572	   0.875887010777919	   0.073722873262540	   0.054831039263197	
   0.057843571288322	   1.199473242972332	   0.013830878498805	   5.015225980349382	   0.875958055408417	   0.073641875637569	   0.054836930690686	
   0.057868756494367	   1.199329071215734	   0.013830824424784	   5.013948241214232	   0.876027340370732	   0.073565118683402	   0.054840423600289	
   0.057894817128571	   1.199179938767524	   0.013830522126427	   5.012607357418386	   0.876095639966203	   0.073491002756748	   0.054842963288747	
   0.057919396455068	   1.199039330322257	   0.013830136101511	   5.011361258441828	   0.876163189810611	   0.073418918391608	   0.054845109662302	
   0.057941775017012	   1.198911351388670	   0.013829739895390	   5.010257089530051	   0.876229906303276	   0.073348690583702	   0.054847078629477	
   0.057962020515957	   1.198795603740967	   0.013829367066659	   5.009288923277349	   0.876295569130030	   0.073280353036786	   0.054848919472702	
   0.057980448108712	   1.198690276414998	   0.013829032347532	   5.008434203555112	   0.876359915606044	   0.073214009616070	   0.054850626269079	
   0.057997343533807	   1.198593729146566	   0.013828740462219	   5.007672316332544	   0.876422673839219	   0.073149769273641	   0.054852194220819	
   0.058012991866089	   1.198504327534759	   0.013828490495339	   5.006982863143827	   0.876483595966941	   0.073087747007768	   0.054853608042132	
   0.058027623642125	   1.198420750438899	   0.013828279681403	   5.006349529902190	   0.876542511395858	   0.073028012908461	   0.054854864879676	
   0.058041422239507	   1.198341947313080	   0.013828101680766	   5.005759662909188	   0.876599339762116	   0.072970583074899	   0.054855951475483	
   0.058054540801644	   1.198267041181693	   0.013827951656681	   5.005202869926319	   0.876654043463532	   0.072915450267258	   0.054856863634874	
   0.058067084102443	   1.198195431916970	   0.013827825534671	   5.004672184995040	   0.876706622010619	   0.072862575430113	   0.054857610742270	
   0.058079165667918	   1.198126469920475	   0.013827719373506	   5.004160256879171	   0.876757107737100	   0.072811909993345	   0.054858189786895	
   0.058090863412252	   1.198059709293231	   0.013827629785273	   5.003662233910064	   0.876805556669058	   0.072763384808044	   0.054858605605669	
   0.058102234492275	   1.197994822887591	   0.013827553797470	   5.003174697816764	   0.876852034503468	   0.072716925602261	   0.054858862910226	
   0.058113331101882	   1.197931512093497	   0.013827488936350	   5.002694631327447	   0.876896619143135	   0.072672449674605	   0.054858966445153	
   0.058124194556923	   1.197869540545918	   0.013827433182777	   5.002219743017484	   0.876939389120541	   0.072629876429679	   0.054858921020659	
   0.058134860747400	   1.197808702975165	   0.013827384890226	   5.001748105326417	   0.876980423506098	   0.072589125433563	   0.054858731266916	
   0.058145357632312	   1.197748839464489	   0.013827342668349	   5.001278313213914	   0.877019800741632	   0.072550118551878	   0.054858402097063	
   0.058155708466210	   1.197689817016982	   0.013827305465237	   5.000809256349473	   0.877057596198394	   0.072512779937027	   0.054857938172152	
   0.058165932055705	   1.197631528071732	   0.013827272328356	   5.000340111138295	   0.877093883803905	   0.072477036292188	   0.054857344290239	
   0.058176046019737	   1.197573871900051	   0.013827242594583	   4.999870090548304	   0.877128730011380	   0.072442821343529	   0.054856624382274	
   0.058186062242976	   1.197516780512668	   0.013827215670960	   4.999398789307830	   0.877162201648699	   0.072410068519398	   0.054855782737660	
   0.058195989705320	   1.197460202512280	   0.013827191106573	   4.998925960101355	   0.877194359517233	   0.072378714289850	   0.054854825820085	
   0.058205841038921	   1.197404065719801	   0.013827168559582	   4.998451086820829	   0.877225259556226	   0.072348704823952	   0.054853755714019	
   0.058215623034011	   1.197348331278271	   0.013827147781238	   4.997974013867910	   0.877254953173099	   0.072319985605363	   0.054852577013128	
   0.058225341568481	   1.197292965549190	   0.013827128528968	   4.997494658216232	   0.877283493910289	   0.072292502509976	   0.054851294285554	
   0.058234963651772	   1.197238156300389	   0.013827120185146	   4.997013881162750	   0.877310650449250	   0.072266367206376	   0.054849921191913	
   0.058244530567149	   1.197183668207941	   0.013827110926743	   4.996530596206201	   0.877336710691791	   0.072241410175036	   0.054848457733150	
   0.058254045996170	   1.197129480187001	   0.013827097287868	   4.996045228565698	   0.877361791919791	   0.072217546662217	   0.054846895634744	
   0.058263508644265	   1.197075599496439	   0.013827083409602	   4.995558057712809	   0.877385928164353	   0.072194726670097	   0.054845245371718	
   0.058272919618203	   1.197022019721346	   0.013827069257707	   4.995069187135805	   0.877409150408716	   0.072172912747347	   0.054843508723145	
