               ASSET	 TYPE	 PROD	              distVE	                SSVE	                 TVE	           distVEwUI	             SSVEwUI	              TVEwUI
   0.000000000000000	    0	    0	   0.000000000000000	   0.000000000000000	   0.000000000000000	   0.000000000000000	  -1.000000000000000	   0.000000000000000
   0.000000000000000	    1	    0	   0.000000000000000	   0.000000000000000	   0.000000000000000	   0.000000000000000	  -1.000000000000000	   0.000000000000000
   0.028895878633786	    0	    0	   0.000000118867046	   0.000035002429540	  -0.000008503176589	   0.000000836255628	  -1.000000000000000	  -0.000014916396812
   0.028895878633786	    1	    0	   0.000000284172910	   0.000036474120264	  -0.000008810643740	   0.000003617598376	  -1.000000000000000	  -0.000014916396810
   0.058626729069591	    0	    0	   0.000000079680924	   0.000037562659966	  -0.000009038062350	   0.000000652193140	  -1.000000000000000	  -0.000013546223186
   0.058626729069591	    1	    0	   0.000000130039229	   0.000038769242324	  -0.000009290142304	   0.000002821353624	  -1.000000000000000	  -0.000013546223188
   0.089216678551268	    0	    0	   0.000000116394537	   0.000038933081986	  -0.000009324371769	   0.000000920467933	  -1.000000000000000	  -0.000012648480197
   0.089216678551268	    1	    0	   0.000000233560117	   0.000039992177643	  -0.000009545638483	   0.000003981896430	  -1.000000000000000	  -0.000012648480199
   0.120690551500581	    0	    0	   0.000000098838257	   0.000039848082842	  -0.000009515534146	   0.000000492466858	  -1.000000000000000	  -0.000012386405123
   0.120690551500581	    1	    0	   0.000000223052417	   0.000040807222614	  -0.000009715917897	   0.000002130386028	  -1.000000000000000	  -0.000012396274982
   0.153073889662773	    0	    0	   0.000000121637447	   0.000040525838283	  -0.000009657131016	   0.000000644946704	  -1.000000000000000	  -0.000011802014043
   0.153073889662773	    1	    0	   0.000000275566286	   0.000041222274487	  -0.000009771629455	   0.000002790005915	  -1.000000000000000	  -0.000011811302916
   0.186392972834257	    0	    0	   0.000000131430258	   0.000041059561920	  -0.000009768636669	   0.000000694717289	  -1.000000000000000	  -0.000011388624147
   0.186392972834257	    1	    0	   0.000000266405415	   0.000041776133135	  -0.000009880267530	   0.000003005310880	  -1.000000000000000	  -0.000011397566844
   0.220674840189252	    0	    0	   0.000000167971026	   0.000041292117916	  -0.000009784991572	   0.000000435432938	  -1.000000000000000	  -0.000011029627785
   0.220674840189252	    1	    0	   0.000000239402503	   0.000041607025395	  -0.000009748262222	   0.000001883660255	  -1.000000000000000	  -0.000009751564340
   0.255947312222677	    0	    0	   0.000000204077702	   0.000041722343958	  -0.000009869742923	   0.000000455550001	  -1.000000000000000	  -0.000010750192257
   0.255947312222677	    1	    0	   0.000000343214800	   0.000101517701467	  -0.000009702370452	   0.000001970685624	  -1.000000000000000	  -0.000009709640357
   0.292239013327094	    0	    0	   0.000000247720103	   0.000041463896237	  -0.000009720797914	   0.000000550534361	  -1.000000000000000	  -0.000010493778774
   0.292239013327094	    1	    0	   0.000000361188135	   0.000109554532924	  -0.000009723068294	   0.000002381583030	  -1.000000000000000	  -0.000009726683029
   0.329579395022038	    0	    0	   0.000000301700922	   0.000041815468095	  -0.000009786275198	   0.000000578303633	  -1.000000000000000	  -0.000010301300508
   0.329579395022038	    1	    0	   0.000000513134958	   0.000105754169743	  -0.000009493558631	   0.000002501711457	  -1.000000000000000	  -0.000009498570730
   0.367998759854577	    0	    0	   0.000000289103299	   0.000111723760216	  -0.000009706549188	   0.000000395943757	  -1.000000000000000	  -0.000009990722464
   0.367998759854577	    1	    0	   0.000000439528383	   0.000119193632836	  -0.000009412415892	   0.000001712832112	  -1.000000000000000	  -0.000009418458636
   0.407528285990505	    0	    0	   0.000000307549728	   0.000102912832716	  -0.000009627179930	   0.000000399952873	  -1.000000000000000	  -0.000009738537066
   0.407528285990505	    1	    0	   0.000000462487771	   0.000116612642927	  -0.000009281744415	   0.000001730175340	  -1.000000000000000	  -0.000009289200400
   0.448200052516108	    0	    0	   0.000000414980123	   0.000101079598484	  -0.000009553451606	   0.000000455348692	  -1.000000000000000	  -0.000009559483608
   0.448200052516108	    1	    0	   0.000000540794028	   0.000113031344103	  -0.000009122053511	   0.000001969814770	  -1.000000000000000	  -0.000009126080012
   0.490047065471057	    0	    0	   0.000000449899267	   0.000112445266572	  -0.000009475106635	   0.000000440218581	  -1.000000000000000	  -0.000009289462771
   0.490047065471057	    1	    0	   0.000000627362864	   0.000113960436702	  -0.000008992436418	   0.000001904362696	  -1.000000000000000	  -0.000008995399891
   0.533103284633538	    0	    0	   0.000001016352109	   0.000123223749804	  -0.000009354366246	   0.000000453965524	  -1.000000000000000	  -0.000009102400511
   0.533103284633538	    1	    0	   0.000000735678138	   0.000114943856863	  -0.000008889760235	   0.000001963831258	  -1.000000000000000	  -0.000008892419073
   0.577403651079368	    0	    0	   0.000001175357337	   0.000112543645747	  -0.000009223054733	   0.000000408912736	  -1.000000000000000	  -0.000008895473950
   0.577403651079368	    1	    0	   0.000000702857347	   0.000104223082078	  -0.000008728675057	   0.000001768935242	  -1.000000000000000	  -0.000008732280048
   0.622984115537448	    0	    0	   0.000001540573807	   0.000111820023226	  -0.000009109931470	   0.000000386465230	  -1.000000000000000	  -0.000008676078855
   0.622984115537448	    1	    0	   0.000001569393969	   0.000101825441678	  -0.000008582736748	   0.000001671828497	  -1.000000000000000	  -0.000008587582975
   0.669881667564581	    0	    0	   0.000002191340419	   0.000111796037118	  -0.000009001261722	   0.000000388280628	  -1.000000000000000	  -0.000008478068003
   0.669881667564581	    1	    0	   0.000003574661508	   0.000100011625177	  -0.000008429470445	   0.000001679681815	  -1.000000000000000	  -0.000008433988470
