                   R	                   W	                   T	                   K	                   L	                   E	                   U
   0.063061849964508	   1.170592388706345	   0.010357332191365	   4.623603751091869	   0.864128822930808	   0.092730887089963	   0.045275981312375	
   0.063063425134314	   1.170583960644642	   0.010357332386097	   4.622034789160421	   0.863847563351390	   0.092982835907994	   0.045276499865152	
   0.063051147688453	   1.170649656502933	   0.010357332580829	   4.622026053229152	   0.863711275414132	   0.093100343901563	   0.045280625205538	
   0.063039844296541	   1.170710149314827	   0.010357332775562	   4.622121437458694	   0.863605131758392	   0.093189430064896	   0.045283933716348	
   0.063030466197827	   1.170760345050278	   0.010357332970294	   4.622188989972064	   0.863514904092388	   0.093265398078570	   0.045286065628874	
   0.063022382862543	   1.170803615436727	   0.010357333165026	   4.622243663866952	   0.863436471063129	   0.093332638002420	   0.045287188936283	
   0.063015068116934	   1.170842775364160	   0.010357333359758	   4.622304374188115	   0.863367595221847	   0.093393278177641	   0.045287562999332	
   0.063008191740219	   1.170879591775681	   0.010357333554491	   4.622380641994964	   0.863306432737890	   0.093448682379212	   0.045287425277436	
   0.063001539903901	   1.170915209048679	   0.010357333749223	   4.622477215407994	   0.863251524515606	   0.093499777059376	   0.045286957070599	
   0.062994989667527	   1.170950285245775	   0.010357333943955	   4.622595246972834	   0.863201736589768	   0.093547196014995	   0.045286302682454	
   0.062988471053402	   1.170985195005146	   0.010357334138687	   4.622733976904543	   0.863156158708635	   0.093591442446997	   0.045285559889993	
   0.062981951562308	   1.171020112352875	   0.010357334333419	   4.622891569630797	   0.863114090817591	   0.093632899484409	   0.045284796818761	
   0.062975416220560	   1.171055117497139	   0.010357334528152	   4.623066036793725	   0.863074996635064	   0.093671871958907	   0.045284061671469	
   0.062968864394595	   1.171090213853454	   0.010357334722884	   4.623255227792943	   0.863038466964956	   0.093708600920497	   0.045283385612990	
   0.062962300245956	   1.171125379149236	   0.010357334917616	   4.623457185112389	   0.863004181366416	   0.093743288541410	   0.045282787256419	
   0.062955729069096	   1.171160585034534	   0.010357335112348	   4.623670265618510	   0.862971890621536	   0.093776099197392	   0.045282278102398	
   0.062949157416334	   1.171195796409942	   0.010357335307081	   4.623893013883703	   0.862941394442658	   0.093807175414493	   0.045281862333711	
   0.062942592735434	   1.171230973365869	   0.010357335501813	   4.624124122756103	   0.862912530127849	   0.093836639337624	   0.045281540884059	
   0.062936038240421	   1.171266098668798	   0.010357335696545	   4.624362686716177	   0.862885163574410	   0.093864597210102	   0.045281312542200	
   0.062929499724984	   1.171301141253450	   0.010357335891277	   4.624607770870986	   0.862859183551718	   0.093891142192581	   0.045281174065251	
   0.062922982963835	   1.171336070145973	   0.010357336086009	   4.624858516886309	   0.862834492969420	   0.093916358790008	   0.045281121639641	
   0.062916489520693	   1.171370876935434	   0.010357336280742	   4.625114402838357	   0.862811011369255	   0.093940319346535	   0.045281151031013	
   0.062910025792157	   1.171405527299369	   0.010357336475474	   4.625374676904854	   0.862788668453026	   0.093963090147150	   0.045281257673467	
   0.062903595571538	   1.171440000861446	   0.010357336670206	   4.625638762437808	   0.862767398097028	   0.093984734047311	   0.045281436447944	
   0.062897200500219	   1.171474288777166	   0.010357336864938	   4.625906285174498	   0.862747148360655	   0.094005305851220	   0.045281680519473	
   0.062890844255330	   1.171508371283174	   0.010357337059671	   4.626176772472279	   0.862727871313784	   0.094024850139792	   0.045281989350479	
   0.062884529376567	   1.171542234709746	   0.010357337254403	   4.626449813074997	   0.862709518031220	   0.094043416027733	   0.045282358341112	
   0.062878257742503	   1.171575868928779	   0.010357337449135	   4.626725079925023	   0.862692048064681	   0.094061046564231	   0.045282783151953	
   0.062872031049882	   1.171609264784576	   0.010357337643867	   4.627002283695044	   0.862675426029410	   0.094077779206539	   0.045283260020426	
   0.062865850906066	   1.171642413598366	   0.010357337838600	   4.627281128295405	   0.862659614320425	   0.094093653323281	   0.045283785688619	
   0.062859753116096	   1.171675123239490	   0.010357338033332	   4.627559867028035	   0.862644680118625	   0.094108687609672	   0.045284264386330	
   0.062853696498099	   1.171707614537947	   0.010357338228064	   4.627839967255648	   0.862630445216367	   0.094122933498863	   0.045284829481833	
   0.062847690095718	   1.171739838921971	   0.010357338422796	   4.628120816057891	   0.862616894583515	   0.094136425050351	   0.045285464989072	
   0.062841738018628	   1.171771774279184	   0.010357338617528	   4.628402175241153	   0.862604028942051	   0.094149186215794	   0.045286145538854	
   0.062835843831779	   1.171803401414091	   0.010357338812261	   4.628683716055351	   0.862591826181467	   0.094161246619076	   0.045286860082611	
   0.062830010072771	   1.171834706639304	   0.010357339006993	   4.628965167535299	   0.862580263710637	   0.094172631993372	   0.045287604950612	
   0.062824238132007	   1.171865682420871	   0.010357339201725	   4.629246323815880	   0.862569318499574	   0.094183367190296	   0.045288377727067	
   0.062818530711514	   1.171896314183672	   0.010357339396457	   4.629526902639459	   0.862558967691849	   0.094193477389328	   0.045289175793597	
   0.062812888149478	   1.171926600037300	   0.010357339591190	   4.629806759976697	   0.862549188262486	   0.094202986873513	   0.045289996179437	
   0.062807314964159	   1.171956515653159	   0.010357339785922	   4.630085519194536	   0.862539959736129	   0.094211918901596	   0.045290837016730	
   0.062801811106812	   1.171986061213962	   0.010357339980654	   4.630363081663827	   0.862531263328488	   0.094220294381548	   0.045291696227244	
   0.062796377522006	   1.172015231570637	   0.010357340175386	   4.630639302117439	   0.862523082474570	   0.094228132576261	   0.045292571483951	
   0.062791016501624	   1.172044014339856	   0.010357340370118	   4.630913929621026	   0.862515395724351	   0.094235454157797	   0.045293461446697	
   0.062785729696245	   1.172072400579422	   0.010357340564851	   4.631186751399166	   0.862508181711139	   0.094242282746700	   0.045294363768383	
   0.062780516916593	   1.172100391225489	   0.010357340759583	   4.631457687585049	   0.862501423637015	   0.094248636849367	   0.045295276276943	
   0.062775381046171	   1.172127970714314	   0.010357340954315	   4.631726473692710	   0.862495104056253	   0.094254535146997	   0.045296197981534	
   0.062770322585768	   1.172155136275620	   0.010357341149047	   4.631992990516646	   0.862489206435751	   0.094259996167477	   0.045297127100406	
   0.062765341737835	   1.172181886741969	   0.010357341343780	   4.632257131576089	   0.862483713341602	   0.094265037624258	   0.045298062139696	
   0.062760439892306	   1.172208214568691	   0.010357341538512	   4.632518727155391	   0.862478608606294	   0.094269677933929	   0.045299001519651	
   0.062755618552130	   1.172234111603444	   0.010357341733244	   4.632777610502663	   0.862473877862852	   0.094273932838971	   0.045299943666252	
   0.062750877647124	   1.172259578143785	   0.010357341927976	   4.633033696384742	   0.862469504656846	   0.094277819078042	   0.045300887589254	
   0.062746217361286	   1.172284613123173	   0.010357342122708	   4.633286901145219	   0.862465475619472	   0.094281351896747	   0.045301832054085	
   0.062741638343384	   1.172309212979198	   0.010357342317441	   4.633537104772020	   0.862461775719301	   0.094284547581205	   0.045302775553230	
   0.062737141452431	   1.172333373020381	   0.010357342512173	   4.633784176361414	   0.862458390209770	   0.094287421349962	   0.045303717262902	
   0.062732726030020	   1.172357096708725	   0.010357342706905	   4.634028068985427	   0.862455303316563	   0.094289989267092	   0.045304656083106	
   0.062728391377229	   1.172380387726101	   0.010357342901637	   4.634268782168141	   0.862452507463685	   0.094292262138189	   0.045305591139529	
