 PROD	ASSET	                  US	                  UL
    0	   0.000000000000000	   0.000000000000000	   0.000000125054494
    0	   0.028895878633786	   0.000004453834340	   0.000000190293980
    0	   0.058626729069591	   0.000003473587613	   0.000000144530775
    0	   0.089216678551268	   0.000004902345765	   0.000000113680010
    0	   0.120690551500581	   0.000002622878327	   0.000000279408085
    0	   0.153073889662773	   0.000003434988318	   0.000000295303653
    0	   0.186392972834257	   0.000003699999339	   0.000000205010688
    0	   0.220674840189252	   0.000002319100993	   0.000000279879166
    0	   0.255947312222677	   0.000002426265914	   0.000000236933394
    0	   0.292239013327094	   0.000002932133814	   0.000000266498523
    0	   0.329579395022038	   0.000003079980910	   0.000000311672132
    0	   0.367998759854577	   0.000002108792392	   0.000000322826830
    0	   0.407528285990505	   0.000002130145685	   0.000000406885124
    0	   0.448200052516108	   0.000002425173834	   0.000000737023208
    0	   0.490047065471057	   0.000002344590599	   0.000000434321364
    0	   0.533103284633538	   0.000002417773488	   0.000000423958213
    0	   0.577403651079368	   0.000002177853486	   0.000000482267225
    0	   0.622984115537448	   0.000002058297748	   0.000000457372493
    0	   0.669881667564581	   0.000002067972755	   0.000000451978321
    0	   0.718134365563312	   0.000001976980905	   0.000000463390089
    0	   0.767781367667167	   0.000001952034352	   0.000000384695553
    0	   0.818862963518346	   0.000001898456761	   0.000000384482536
    0	   0.871420606963662	   0.000001741691894	   0.000000058507252
    0	   0.925496949695250	   0.000001708390419	   0.000000054328812
    0	   0.981135875863370	   0.000000000000000	   0.000000000000000
    0	   1.038382537689358	   0.000000000000000	   0.000000000000000
    0	   1.097283392107659	   0.000000000000000	   0.000000000000000
    0	   1.157886238466658	   0.000000000000000	   0.000000000000000
    0	   1.220240257318908	   0.000000000000000	   0.000000000000000
    0	   1.284396050332241	   0.000000000000000	   0.000000000000000
    0	   1.350405681354142	   0.000000000000000	   0.000000000000000
    0	   1.418322718662713	   0.000000000000000	   0.000000000000000
    0	   1.488202278438519	   0.000000000000000	   0.000000000000000
    0	   1.560101069492589	   0.000000000000000	   0.000000000000000
    0	   1.634077439286873	   0.000000000000000	   0.000000000000000
    0	   1.710191421284502	   0.000000000000000	   0.000000000000000
    0	   1.788504783668267	   0.000000000000000	   0.000000000000000
    0	   1.869081079466878	   0.000000000000000	   0.000000000000000
    0	   1.951985698129646	   0.000000000000000	   0.000000000000000
    0	   2.037285918591472	   0.000000000000000	   0.000000000000000
    0	   2.125050963871200	   0.000000000000000	   0.000000000000000
    0	   2.215352057247619	   0.000000000000000	   0.000000000000000
    0	   2.308262480058741	   0.000000000000000	   0.000000000000000
    0	   2.403857631171228	   0.000000000000000	   0.000000000000000
    0	   2.502215088168239	   0.000000000000000	   0.000000000000000
    0	   2.603414670305364	   0.000000000000000	   0.000000000000000
    0	   2.707538503285713	   0.000000000000000	   0.000000000000000
    0	   2.814671085906746	   0.000000000000000	   0.000000000000000
    0	   2.924899358632921	   0.000000000000000	   0.000000000000000
    0	   3.038312774149804	   0.000000000000000	   0.000000000000000
    0	   3.155003369956905	   0.000000000000000	   0.000000000000000
    0	   3.275065843058154	   0.000000000000000	   0.000000000000000
    0	   3.398597626810607	   0.000000000000000	   0.000000000000000
    0	   3.525698969993787	   0.000000000000000	   0.000000000000000
    0	   3.656473018163779	   0.000000000000000	   0.000000000000000
    0	   3.791025897358140	   0.000000000000000	   0.000000000000000
    0	   3.929466800219529	   0.000000000000000	   0.000000000000000
    0	   4.071908074607951	   0.000000000000000	   0.000000000000000
    0	   4.218465314773542	   0.000000000000000	   0.000000000000000
    0	   4.369257455163862	   0.000000000000000	   0.000000000000000
    0	   4.524406866941830	   0.000000000000000	   0.000000000000000
    0	   4.684039457292635	   0.000000000000000	   0.000000000000000
    0	   4.848284771600217	   0.000000000000000	   0.000000000000000
    0	   5.017276098576197	   0.000000000000000	   0.000000000000000
    0	   5.191150578426639	   0.000000000000000	   0.000000000000000
    0	   5.370049314144351	   0.000000000000000	   0.000000000000000
    0	   5.554117486017097	   0.000000000000000	   0.000000000000000
    0	   5.743504469444626	   0.000000000000000	   0.000000000000000
    0	   5.938363956160092	   0.000000000000000	   0.000000000000000
    0	   6.138854078954332	   0.000000000000000	   0.000000000000000
    0	   6.345137540004107	   0.000000000000000	   0.000000000000000
    0	   6.557381742908535	   0.000000000000000	   0.000000000000000
    0	   6.775758928540808	   0.000000000000000	   0.000000000000000
    0	   7.000446314825505	   0.000000000000000	   0.000000000000000
    0	   7.231626240554826	   0.000000000000000	   0.000000000000000
    0	   7.469486313360592	   0.000000000000000	   0.000000000000000
    0	   7.714219561961972	   0.000000000000000	   0.000000000000000
    0	   7.966024592812593	   0.000000000000000	   0.000000000000000
    0	   8.225105751274045	   0.000000000000000	   0.000000000000000
    0	   8.491673287446705	   0.000000000000000	   0.000000000000000
    0	   8.765943526792318	   0.000000000000000	   0.000000000000000
    0	   9.048139045686920	   0.000000000000000	   0.000000000000000
    0	   9.338488852046499	   0.000000000000000	   0.000000000000000
    0	   9.637228571171983	   0.000000000000000	   0.000000000000000
    0	   9.944600636964415	   0.000000000000000	   0.000000000000000
    0	  10.260854488665400	   0.000000000000000	   0.000000000000000
    0	  10.586246773282603	   0.000000000000000	   0.000000000000000
    0	  10.921041553864477	   0.000000000000000	   0.000000000000000
    0	  11.265510523793269	   0.000000000000000	   0.000000000000000
    0	  11.619933227270224	   0.000000000000000	   0.000000000000000
    0	  11.984597286171908	   0.000000000000000	   0.000000000000000
    0	  12.359798633461725	   0.000000000000000	   0.000000000000000
