 PROD	               ASSET	   searchEffortWWUS0	   searchEffortWWUL0	    searchEffortVEWW
    0	   0.000000000000000	   1.168939422981534	   1.580701998117328	   0.000000000000000
    0	   0.028895878633786	   1.095211774070930	   1.580701998117328	   0.000000000000000
    0	   0.058626729069591	   1.021646471449253	   1.212167400434007	   0.000000000000000
    0	   0.089216678551268	   0.956250424143859	   1.212167395823307	   0.035377053935345
    0	   0.120690551500581	   0.950557661741036	   1.108960423893829	   0.034129534091624
    0	   0.153073889662773	   0.912589817121070	   1.021646564629014	   0.033008171650075
    0	   0.186392972834257	   0.878683317261199	   0.976364972568827	   0.032211012662370
    0	   0.220674840189252	   0.854663020508182	   0.956250287713391	   0.031899538460011
    0	   0.255947312222677	   0.824406133766440	   0.912589801040031	   0.030815349498789
    0	   0.292239013327094	   0.808980743159143	   0.877541015993730	   0.029922413245276
    0	   0.329579395022038	   0.786289526679590	   0.849303432225545	   0.029095695718459
    0	   0.367998759854577	   0.765323975301530	   0.815734017196527	   0.028332387525266
    0	   0.407528285990505	   0.745428984543834	   0.799719670297952	   0.028064469746608
    0	   0.448200052516108	   0.730355568959481	   0.775206589930983	   0.027717497201946
    0	   0.490047065471057	   0.715902608123275	   0.759543838280416	   0.027376463854448
    0	   0.533103284633538	   0.701835004804226	   0.741421113043380	   0.027099397312848
    0	   0.577403651079368	   0.686958556247351	   0.724427014231372	   0.026733701127403
    0	   0.622984115537448	   0.674857398437288	   0.708331559825632	   0.026293636971962
    0	   0.669881667564581	   0.661663937611604	   0.691961064746540	   0.025835843039385
    0	   0.718134365563312	   0.648902687683184	   0.677194591094915	   0.025509892618516
    0	   0.767781367667167	   0.636067422755911	   0.662978840258400	   0.025184493072982
    0	   0.818862963518346	   0.624084831830844	   0.649253357399860	   0.024897626339702
    0	   0.871420606963662	   0.613526205731635	   0.636067392206671	   0.024605340754675
    0	   0.925496949695250	   0.603315856896059	   0.624084790642541	   0.024313446794119
    0	   0.981135875863370	   0.593379325604910	   0.612692839950933	   0.024048941050836
    0	   1.038382537689358	   0.583488108956348	   0.601717019269161	   0.023795654265223
    0	   1.097283392107659	   0.574739861514708	   0.591124511821762	   0.023556948433131
    0	   1.157886238466658	   0.565715366405146	   0.580832862907832	   0.023313555395359
    0	   1.220240257318908	   0.556815567987501	   0.571144640222797	   0.023073777812456
    0	   1.284396050332241	   0.548543747049820	   0.561767872958785	   0.022848223661714
    0	   1.350405681354142	   0.540410569053355	   0.552643777909523	   0.024054708979375
    0	   1.418322718662713	   0.532374830359466	   0.543907995612816	   0.032637027380039
    0	   1.488202278438519	   0.524569029733776	   0.535473955827227	   0.042057033504693
    0	   1.560101069492589	   0.517054314842131	   0.527281717142262	   0.051682490478869
    0	   1.634077439286873	   0.509716533167831	   0.519342768155111	   0.061332357284457
    0	   1.710191421284502	   0.501210437297858	   0.511685760806692	   0.070709900624642
    0	   1.788504783668267	   0.493347726736243	   0.504262445643986	   0.079632343773897
    0	   1.869081079466878	   0.485912568950384	   0.496079569424096	   0.087997215282108
    0	   1.951985698129646	   0.478620562948358	   0.488237446182727	   0.095873213361185
    0	   2.037285918591472	   0.471496926172308	   0.480573855116433	   0.103279294002131
    0	   2.125050963871200	   0.464571250036183	   0.473105343785719	   0.110262327566261
    0	   2.215352057247619	   0.457769675874159	   0.465859783594743	   0.116826991628359
    0	   2.308262480058741	   0.451034305892484	   0.458768137885030	   0.122964209077008
    0	   2.403857631171228	   0.444061294547354	   0.451766903193852	   0.128617660887784
    0	   2.502215088168239	   0.437429099164936	   0.444555896973436	   0.133833356776700
    0	   2.603414670305364	   0.430972715983494	   0.437682121552237	   0.138735711136148
    0	   2.707538503285713	   0.424608084488787	   0.431000034343465	   0.143368013625814
    0	   2.814671085906746	   0.418353552537355	   0.424425840169637	   0.147781378102423
    0	   2.924899358632921	   0.412217816617214	   0.417975347206356	   0.152058908029600
    0	   3.038312774149804	   0.406169459095222	   0.411656947459968	   0.156318299115694
    0	   3.155003369956905	   0.400124722262868	   0.405436925543911	   0.160793398329707
    0	   3.275065843058154	   0.394232152917848	   0.399224813483132	   0.165766850181694
    0	   3.398597626810607	   0.388453107473245	   0.393182049405457	   0.171611908776150
    0	   3.525698969993787	   0.382777056127746	   0.387264469432940	   0.177780898303690
    0	   3.656473018163779	   0.377230632299566	   0.381460240418055	   0.183712680715527
    0	   3.791025897358140	   0.371729266832559	   0.375800148495263	   0.189331204372501
    0	   3.929466800219529	   0.366076331383112	   0.370185883536434	   0.196466282188037
    0	   4.071908074607951	   0.360509586824793	   0.364386460156972	   0.203958441861434
    0	   4.218465314773542	   0.355384288727519	   0.358697365033083	   0.211028797605216
    0	   4.369257455163862	   0.350381468959685	   0.353537513519786	   0.217272393466719
    0	   4.524406866941830	   0.345240639044593	   0.348493812390226	   0.223193011526608
    0	   4.684039457292635	   0.340058214597209	   0.343247146988733	   0.229014239971995
    0	   4.848284771600217	   0.334698077185369	   0.337946868479893	   0.234429199401773
    0	   5.017276098576197	   0.329598835921281	   0.332696638187011	   0.239447924564285
    0	   5.191150578426639	   0.324795159002365	   0.327721080086300	   0.244151491308356
    0	   5.370049314144351	   0.320013655639298	   0.322937966132439	   0.248607240301817
    0	   5.554117486017097	   0.315180931537704	   0.318180275632417	   0.252752724637215
    0	   5.743504469444626	   0.310361994121699	   0.313269632380970	   0.256543249159655
    0	   5.938363956160092	   0.305524514114327	   0.308349635686856	   0.260057493282682
    0	   6.138854078954332	   0.300745495733937	   0.303475313305845	   0.263326883226117
