 PROD	               ASSET	            valueWW0	            valueUS0	            valueUL0	            valueWW1	            valueUS1	            valueUL1
    0	   0.000000000000000	 -25.689531146642000	 -48.135442922540570	 -64.949824070153682	 -25.689531146642000	 -30.842360545317913	 -45.955992505714178
    0	   0.028895878633786	 -25.529567967144729	 -47.005078390979101	 -54.025058748642614	 -25.529567967144729	 -30.104270394991463	 -35.031227184203104
    0	   0.058626729069591	 -25.380325829731177	 -45.943644818058175	 -50.671735527977759	 -25.380325829731174	 -29.581703803897948	 -32.967965513189647
    0	   0.089216678551268	 -25.234530877323760	 -45.064173435190007	 -48.723986747295754	 -25.233435888002361	 -29.103394621264098	 -31.399100633465039
    0	   0.120690551500581	 -25.097199240361807	 -44.303129899962009	 -47.453000495778227	 -25.096183427285407	 -28.687594390573658	 -30.391334301513886
    0	   0.153073889662773	 -24.961481903303614	 -43.625718074218753	 -46.280032114865165	 -24.960534521398792	 -28.290295652768197	 -29.739696302514229
    0	   0.186392972834257	 -24.827338421169735	 -43.030010306961785	 -45.285072771023678	 -24.826437657536928	 -27.956284558462187	 -29.213916891279986
    0	   0.220674840189252	 -24.699186369893475	 -42.462432402677869	 -44.394991033576396	 -24.698303658375906	 -27.639704096445097	 -28.747257897630053
    0	   0.255947312222677	 -24.572057944508096	 -41.901580811648870	 -43.656915560102270	 -24.571236817036610	 -27.372941681575131	 -28.307854814930167
    0	   0.292239013327094	 -24.446300292273701	 -41.368730029703251	 -43.005262561950666	 -24.445527825378544	 -27.115504566818633	 -27.942530459701672
    0	   0.329579395022038	 -24.321935939732153	 -40.871431541266645	 -42.389522503337815	 -24.321207012923473	 -26.879626087477188	 -27.604054815408801
    0	   0.367998759854577	 -24.201056186723424	 -40.384690197026991	 -41.780530158904902	 -24.200366471003484	 -26.656790902969362	 -27.316428877384617
    0	   0.407528285990505	 -24.082037645138858	 -39.941790437619638	 -41.223844222014996	 -24.081361439109212	 -26.438565760710922	 -27.047530007663394
    0	   0.448200052516108	 -23.963650235432581	 -39.515742675875238	 -40.692174670698890	 -23.962991308504961	 -26.225717003456754	 -26.794644300710530
    0	   0.490047065471057	 -23.846057720926993	 -39.103824579392089	 -40.188306726673162	 -23.845415535755510	 -26.027484144848795	 -26.556994532069968
    0	   0.533103284633538	 -23.729465937455402	 -38.704769797880125	 -39.718116937069020	 -23.728837188244089	 -25.834515030923985	 -26.324714623630953
    0	   0.577403651079368	 -23.614746795610881	 -38.315221851321489	 -39.267611078009040	 -23.614135540697280	 -25.650120019849794	 -26.108840599573913
    0	   0.622984115537448	 -23.501150325626504	 -37.934171526994454	 -38.834948442068018	 -23.500559801020710	 -25.471996207131141	 -25.899832047577316
    0	   0.669881667564581	 -23.387927851790721	 -37.567331482026660	 -38.417485239209171	 -23.387358522390851	 -25.299095280582232	 -25.697786259825619
    0	   0.718134365563312	 -23.275399534226150	 -37.206490795986682	 -38.007501431654546	 -23.274845021848421	 -25.131078972072739	 -25.506911302767993
    0	   0.767781367667167	 -23.163365634693942	 -36.851788168503731	 -37.616701356049873	 -23.162825719458592	 -24.967227216861069	 -25.322767385827490
    0	   0.818862963518346	 -23.052177468642071	 -36.513209926855886	 -37.233424036270797	 -23.051650252681984	 -24.805732652972573	 -25.144075607521778
    0	   0.871420606963662	 -22.941786231606269	 -36.182267727768732	 -36.857683135396108	 -22.941271792773097	 -24.648374613100046	 -24.970059393877552
    0	   0.925496949695250	 -22.831894796116490	 -35.856924116912708	 -36.499143477704003	 -22.831392953629976	 -24.493847694418246	 -24.799019189746296
    0	   0.981135875863370	 -22.722274628533853	 -35.536899124224348	 -36.149425299949073	 -22.721784060523003	 -24.341407518326076	 -24.633065556498579
    0	   1.038382537689358	 -22.613008694248862	 -35.221136379811554	 -35.806613682528926	 -22.612528797702449	 -24.191476895951904	 -24.470358004370571
    0	   1.097283392107659	 -22.504019166534768	 -34.912198392669040	 -35.470298321441120	 -22.503549215860634	 -24.044570542322283	 -24.310166755363259
    0	   1.157886238466658	 -22.395456192809732	 -34.608707654993125	 -35.139019749111689	 -22.394996265029235	 -23.899650558480754	 -24.153562176655161
    0	   1.220240257318908	 -22.287389911027983	 -34.309073200351534	 -34.816960138202013	 -22.286939753430968	 -23.756555030807728	 -23.999977350252511
    0	   1.284396050332241	 -22.179586937652367	 -34.014053582033625	 -34.500125735020866	 -22.179145870884774	 -23.615162258745961	 -23.848724042216521
    0	   1.350405681354142	 -22.071885127016103	 -33.724085792698155	 -34.187665820963140	 -22.071394307106235	 -23.475094800705754	 -23.699629035655629
    0	   1.418322718662713	 -21.964357161389586	 -33.438246857489297	 -33.881747386335675	 -21.963431417915682	 -23.335730432030605	 -23.552344310228513
    0	   1.488202278438519	 -21.856997882107340	 -33.155971199006309	 -33.581198664404056	 -21.855427352037122	 -23.194809839020326	 -23.407017936175873
    0	   1.560101069492589	 -21.749865150735825	 -32.877375237102143	 -33.284933012073388	 -21.747449289761281	 -23.054745480346170	 -23.259683954127716
    0	   1.634077439286873	 -21.642983342058031	 -32.602542928359732	 -32.992940083925262	 -21.639525499214614	 -22.915935387978127	 -23.113117605111100
    0	   1.710191421284502	 -21.536197635869350	 -32.328388440913479	 -32.705537963159145	 -21.531535830153665	 -22.778231367919076	 -22.968144018803642
    0	   1.788504783668267	 -21.429351486620966	 -32.050879628613423	 -32.422184709345743	 -21.423364967303975	 -22.641494692484066	 -22.824614233456348
    0	   1.869081079466878	 -21.322264916324098	 -31.775221372326282	 -32.133931616149248	 -21.314874446906909	 -22.505674800782224	 -22.682340392620233
    0	   1.951985698129646	 -21.214995749815607	 -31.502612325157106	 -31.847181010985253	 -21.206149852903661	 -22.370740681321102	 -22.541265420301954
    0	   2.037285918591472	 -21.107707106561151	 -31.232750625815694	 -31.564124719902598	 -21.097370252920932	 -22.236195809520019	 -22.401305204577749
