                   R	                   W	                   T	                   K	                   L	                   E	                   U
   0.062596094282829	   1.173091866791511	   0.011306767524860	   4.535904370356310	   0.842732180951385	   0.108965440248076	   0.053159327880998	
   0.062604621195545	   1.173045974192106	   0.011809341081326	   4.533846828814171	   0.842434616432956	   0.109226825988572	   0.053167715928331	
   0.062596641204901	   1.173088923592160	   0.011808570816688	   4.533541131433199	   0.842292147884483	   0.109352070321380	   0.053172679683689	
   0.062587690390944	   1.173137103355720	   0.011808614135500	   4.533517806930416	   0.842191730032973	   0.109439462415912	   0.053175601066740	
   0.062579978808069	   1.173178617203326	   0.011808789730035	   4.533525700217698	   0.842110417765713	   0.109511144913741	   0.053177260492522	
   0.062573532833859	   1.173213321112013	   0.011808972851499	   4.533528664375178	   0.842041777340957	   0.109573058271347	   0.053177962550357	
   0.062568021711378	   1.173242994287635	   0.011809142760781	   4.533529670125386	   0.841982809357431	   0.109627625090774	   0.053177969003021	
   0.062563119180164	   1.173269392468147	   0.011809298983589	   4.533536716209490	   0.841931496756055	   0.109676313167653	   0.053177519848744	
   0.062558586372118	   1.173293801340267	   0.011809444507682	   4.533554833420138	   0.841886209344040	   0.109720266645461	   0.053176803807800	
   0.062554267222900	   1.173317061011725	   0.011809580140535	   4.533586806716855	   0.841845788670977	   0.109760208049852	   0.053175938902662	
   0.062550064072453	   1.173339697250445	   0.011809708444888	   4.533633282729348	   0.841809306114935	   0.109796772809788	   0.053175009420703	
   0.062545918455382	   1.173362024844665	   0.011809831232455	   4.533693717447727	   0.841776032701217	   0.109830493322380	   0.053174070924341	
   0.062541797642469	   1.173384220031314	   0.011809949530014	   4.533767130665674	   0.841745434742763	   0.109861755568910	   0.053173150863928	
   0.062537687328053	   1.173406359846934	   0.011810064368796	   4.533852159549002	   0.841717105302137	   0.109890877004127	   0.053172265772548	
   0.062533578674620	   1.173428491888732	   0.011810176466744	   4.533947633494453	   0.841690731872915	   0.109918114078983	   0.053171426477975	
   0.062529468892738	   1.173450631182696	   0.011810286301844	   4.534052403931417	   0.841666070997152	   0.109943670542453	   0.053170640438281	
   0.062525357827969	   1.173472778562330	   0.011810394206668	   4.534165461090056	   0.841642933307140	   0.109967701788016	   0.053169913701834	
   0.062521247752552	   1.173494921787251	   0.011810500512198	   4.534285850300619	   0.841621165747329	   0.109990338042234	   0.053169251166784	
   0.062517141090243	   1.173517047798122	   0.011810605446209	   4.534412759062623	   0.841600643313561	   0.110011691240009	   0.053168655788071	
   0.062513040456135	   1.173539142501747	   0.011810709150557	   4.534545478912685	   0.841581262397286	   0.110031856412882	   0.053168128936021	
   0.062508948704427	   1.173561190513597	   0.011810811728271	   4.534683374301951	   0.841562935517211	   0.110050915522858	   0.053167670933172	
   0.062504868651504	   1.173583176649590	   0.011810913262288	   4.534825877329695	   0.841545587366987	   0.110068939906166	   0.053167281375236	
   0.062500803826621	   1.173605081880705	   0.011811013792196	   4.534972442166969	   0.841529154412287	   0.110085992367186	   0.053166958343905	
   0.062496757174834	   1.173626890322551	   0.011811113361288	   4.535122599617274	   0.841513581091291	   0.110102128032745	   0.053166699785550	
   0.062492730922244	   1.173648589962132	   0.011811212000805	   4.535275949307652	   0.841498816916472	   0.110117397863391	   0.053166502973814	
   0.062488728735999	   1.173670161017207	   0.011811309721236	   4.535432042791409	   0.841484817966414	   0.110131847268326	   0.053166365108083	
   0.062484751945473	   1.173691596302212	   0.011811406544126	   4.535590589680555	   0.841471544570968	   0.110145518052795	   0.053166283080868	
   0.062480804023555	   1.173712877075938	   0.011811502467763	   4.535751194377372	   0.841458960563907	   0.110158448415334	   0.053166253644186	
   0.062476886955786	   1.173733992611246	   0.011811597511703	   4.535913556248540	   0.841447031448220	   0.110170674927850	   0.053166273765866	
   0.062473003107260	   1.173754930132864	   0.011811691668153	   4.536077376100705	   0.841435727082151	   0.110182230417506	   0.053166340223587	
   0.062469154617730	   1.173775678078079	   0.011811784956193	   4.536242370408722	   0.841425017824957	   0.110193146656890	   0.053166449791788	
   0.062465343759663	   1.173796224166479	   0.011811877381958	   4.536408260187008	   0.841414876315997	   0.110203453268430	   0.053166599647222	
   0.062461572901331	   1.173816555599135	   0.011811968979659	   4.536574771603761	   0.841405277191320	   0.110213178189183	   0.053166786895001	
   0.062457843854135	   1.173836662577455	   0.011812059749638	   4.536741668643782	   0.841396196135073	   0.110222348015354	   0.053167008817479	
   0.062454157860976	   1.173856538366605	   0.011812149637161	   4.536908759121566	   0.841387610867353	   0.110230987669223	   0.053167262392240	
   0.062450517787210	   1.173876167481951	   0.011812238634024	   4.537075757862962	   0.841379499290678	   0.110239121547960	   0.053167544597664	
   0.062446925012680	   1.173895542447429	   0.011812326839053	   4.537242472129659	   0.841371840512104	   0.110246774814136	   0.053167850988012	
   0.062443381268751	   1.173914653890171	   0.011812414214063	   4.537408701041753	   0.841364615911546	   0.110253964373426	   0.053168182652294	
   0.062439888306768	   1.173933492327049	   0.011812500568276	   4.537574264987525	   0.841357811036828	   0.110260712343330	   0.053168524260993	
   0.062436446859931	   1.173952053769912	   0.011812586566743	   4.537738946984557	   0.841351393576987	   0.110267041441559	   0.053168906149231	
   0.062433059472452	   1.173970324455788	   0.011812671474122	   4.537902585657850	   0.841345360991065	   0.110272962611588	   0.053169299565304	
   0.062429727372149	   1.173988297724195	   0.011812755787271	   4.538064993053063	   0.841339691678574	   0.110278495318667	   0.053169709839104	
