             distWW0	               SSWW0	                TWW0	             distWW1	               SSWW1	                TWW1	             distUS0	               SSUS0	                TUS0	             distUS1	               SSUS1	                TUS1	             distUL0	               SSUL0	                TUL0	             distUL1	               SSUL1	                TUL1
   0.000000171322655	 796.850680227871862	   0.000954169711315	   0.026349466155508	 798.166718691910773	   0.000954169711316	   0.000000002003716	3971.943495266378704	   0.000875145568227	   0.001369233493322	1272.918308558732633	   0.000845355340390	   0.000000000000000	8562.779742224533038	   0.000443981871544	   0.000039720329246	3540.270417404593900	   0.000222960557238
   0.000000125743976	 784.174142257925041	   0.000941177653013	   0.008079398226764	 785.469271030498248	   0.000941177653013	   0.000000004328539	3737.102999478307083	   0.000824781260128	   0.000347520991225	1196.205074206495283	   0.000781205204116	   0.000000000000000	5339.525158026031022	   0.000679537092027	   0.000328035785888	1764.582738143852339	   0.000517284163703
   0.000000086217581	 772.458565404901037	   0.000917321056251	   0.004018439251948	 773.734369571819343	   0.000917321056251	   0.000000003907751	3524.490022066551319	   0.000762959509720	   0.000195348734787	1143.639805196599809	   0.000749485619740	   0.000000000000000	4530.336463825470673	   0.000604238815196	   0.000073163003435	1510.092001906664109	   0.000571737337571
   0.000000092803605	 761.117279239291406	   0.000904886313303	   0.005292254003798	 762.374376185428218	   0.000904886313304	   0.000000005170051	3354.005212898042373	   0.000733019507618	   0.000259657374194	1096.782194804045503	   0.000730785940756	   0.000000000000000	4097.060228196470234	   0.000662832653014	   0.000093273430289	1332.510956804528405	   0.000543056262519
   0.000000058411623	 750.527353465320516	   0.000881837211400	   0.003273393780205	 751.756205586264286	   0.000881409132175	   0.000000003534209	3210.641364635916034	   0.000702230869098	   0.000149803261176	1057.056560784016710	   0.000703280715165	   0.000000000000000	3828.521787992358895	   0.000627301795240	   0.000134896029828	1225.507765366240847	   0.000581478944892
   0.000000068755624	 740.179228206262337	   0.000866356880563	   0.004198438379595	 741.383850074296674	   0.000866210220223	   0.000000004861331	3086.242077018262989	   0.000681761271350	   0.000202045898872	1019.902395312949579	   0.000686763871794	   0.000000000000000	3590.501701085310287	   0.000566690803918	   0.000112730420177	1159.203357027995708	   0.000605416228390
   0.000000069566115	 730.034139455074069	   0.000853260011950	   0.004480973105932	 731.216882746977262	   0.000853242835053	   0.000000005285205	2979.308838173646564	   0.000646358120435	   0.000220898764611	 989.271086815658464	   0.000671815433362	   0.000000000000000	3395.819964715937203	   0.000560874042152	   0.000089731927341	1107.334122079063718	   0.000589035067297
   0.000000077075883	 720.388392115447573	   0.000831200337491	   0.002984921072001	 721.551244333021486	   0.000831117298558	   0.000000006264985	2879.565216114446230	   0.000618764669569	   0.000146637634325	 960.770954703833581	   0.000665729357923	   0.000000000000000	3227.245205807956609	   0.000578382656846	   0.000067170701653	1062.533057842874769	   0.000584886559585
   0.000000070168955	 710.913128611138291	   0.000815793035339	   0.003405812542630	 712.057284975598918	   0.000815689425071	   0.000000006145104	2783.047656870916398	   0.000590404873666	   0.000158494680959	 937.154792243632642	   0.000656706520002	   0.000000000000000	3091.431358661442573	   0.000560906843516	   0.000105687069923	1021.372060077667243	   0.000581957717624
   0.000000103903330	 701.614792005441586	   0.000802551950224	   0.004347131051728	 702.740850938196900	   0.000802513312144	   0.000000009610808	2693.178065793058522	   0.000572770739714	   0.000200525263828	 914.700764986024183	   0.000651766395464	   0.000000000000000	2974.459302857143030	   0.000528441597633	   0.000083221220367	 987.870919727184173	   0.000570634737171
   0.000000104560779	 692.492702036779292	   0.000789959732306	   0.004238292543965	 693.601947413738230	   0.000789977661788	   0.000000010342517	2610.899423663187463	   0.000545814722585	   0.000202173327439	 894.422739734857032	   0.000633396874470	   0.000000000000000	2866.464743037198332	   0.000506185925921	   0.000119302166728	 957.447643619745691	   0.000586048486989
   0.000000100392713	 683.680017304771241	   0.000769501093502	   0.003049607888450	 684.773500308728558	   0.000769523271165	   0.000000010418087	2531.881759142567262	   0.000537367400869	   0.000144224662289	 875.510147142425353	   0.000621511350491	   0.000000000000000	2762.058543411693336	   0.000477211335469	   0.000089682414725	 932.056982859789741	   0.000577724491588
   0.000000110434493	 675.079183721864638	   0.000755724427447	   0.003105918471116	 676.158065814038878	   0.000755562779729	   0.000000012071801	2461.277176675360352	   0.000512032084230	   0.000147623566658	 857.229791740836731	   0.000607403887520	   0.000000000000000	2668.634111726713854	   0.000470892451943	   0.000086927017813	 908.689487759067561	   0.000585297428031
   0.000000142763525	 666.589875777838301	   0.000742064826862	   0.003563836032731	 667.654791279233905	   0.000741997033611	   0.000000016363817	2394.495949268877666	   0.000505526715064	   0.000171032787829	 839.627201464770451	   0.000600875676610	   0.000000000000000	2581.230472749321507	   0.000454554309748	   0.000083108508767	 887.047062835075621	   0.000574259832246
   0.000000146570993	 658.222672978710193	   0.000729431223613	   0.003882696959190	 659.274042412183121	   0.000729466276249	   0.000000017588112	2330.997749988835039	   0.000490200762644	   0.000175969142711	 823.428793471131030	   0.000584687251831	   0.000000000000000	2500.040060196200557	   0.000454863131323	   0.000091100545563	 866.987751947275001	   0.000557686423033
   0.000000286283080	 649.990129881793791	   0.000718216183246	   0.003789122168946	 651.028196768846215	   0.000718258230716	   0.000000033620580	2270.465224433074582	   0.000469877662219	   0.000177124176325	 807.847236886506948	   0.000576791971880	   0.000000000000000	2425.705955615862422	   0.000440395057914	   0.000098894431406	 847.658403685151029	   0.000544595830206
