 TYPE	 PROD	ASSET	                  VE
    0	    0	   77	   0.000032864857601
    1	    0	   77	   0.000243569345809
    0	    0	   78	   0.000033060827191
    1	    0	   78	   0.000244139129157
    0	    0	   79	   0.000033312562560
    1	    0	   79	   0.000244579472143
    0	    0	   80	   0.000033428389332
    1	    0	   80	   0.000244422684368
    0	    0	   81	   0.000033420943567
    1	    0	   81	   0.000243703313818
    0	    0	   82	   0.000033687689993
    1	    0	   82	   0.000243746064967
    0	    0	   83	   0.000034003941527
    1	    0	   83	   0.000243408149617
    0	    0	   84	   0.000034100508133
    1	    0	   84	   0.000242919137201
    0	    0	   85	   0.000034221175929
    1	    0	   85	   0.000242569039481
    0	    0	   86	   0.000034356687120
    1	    0	   86	   0.000242029927892
    0	    0	   87	   0.000034392160108
    1	    0	   87	   0.000241429346455
    0	    0	   88	   0.000034385601843
    1	    0	   88	   0.000240652661094
    0	    0	   89	   0.000034465164885
    1	    0	   89	   0.000239820583256
    0	    0	   90	   0.000034575753134
    1	    0	   90	   0.000239055999164
    0	    0	   91	   0.000034639076175
    1	    0	   91	   0.000237983411589
    0	    0	   92	   0.000034681910014
    1	    0	   92	   0.000236920694521
    0	    0	   93	   0.000034709113852
    1	    0	   93	   0.000235802978943
    0	    0	   94	   0.000034754121156
    1	    0	   94	   0.000234486578843
    0	    0	   95	   0.000034775110432
    1	    0	   95	   0.000233073212753
    0	    0	   96	   0.000034785079327
    1	    0	   96	   0.000231579650312
    0	    0	   97	   0.000034795141883
    1	    0	   97	   0.000229984702339
    0	    0	   98	   0.000034803896328
    1	    0	   98	   0.000228394924119
    0	    0	   99	   0.000034794733450
    1	    0	   99	   0.000226679857928
    0	    0	  100	   0.000034774471321
    1	    0	  100	   0.000224843064629
    0	    0	  101	   0.000034750889602
    1	    0	  101	   0.000222981359766
    0	    0	  102	   0.000034712283914
    1	    0	  102	   0.000221013309999
    0	    0	  103	   0.000034660205406
    1	    0	  103	   0.000218942664957
    0	    0	  104	   0.000034600884368
    1	    0	  104	   0.000216819236105
    0	    0	  105	   0.000034536437457
    1	    0	  105	   0.000214674815416
    0	    0	  106	   0.000034455239984
    1	    0	  106	   0.000212408417387
    0	    0	  107	   0.000034359664619
    1	    0	  107	   0.000210059385142
    0	    0	  108	   0.000034262484277
    1	    0	  108	   0.000207689459545
    0	    0	  109	   0.000034158046001
    1	    0	  109	   0.000205269605225
    0	    0	  110	   0.000034029538445
    1	    0	  110	   0.000202740767180
    0	    0	  111	   0.000033891166575
    1	    0	  111	   0.000200156733658
    0	    0	  112	   0.000033767032156
    1	    0	  112	   0.000197631644434
    0	    0	  113	   0.000033609367774
    1	    0	  113	   0.000194945964665
    0	    0	  114	   0.000033423822231
    1	    0	  114	   0.000192167374423
    0	    0	  115	   0.000033271585815
    1	    0	  115	   0.000189494940875
    0	    0	  116	   0.000033094250351
    1	    0	  116	   0.000186720953678
    0	    0	  117	   0.000032846130640
    1	    0	  117	   0.000183739136760
    0	    0	  118	   0.000032660770060
    1	    0	  118	   0.000180943988003
    0	    0	  119	   0.000032466990678
    1	    0	  119	   0.000178142586608
    0	    0	  120	   0.000032121596746
    1	    0	  120	   0.000174955467631
    0	    0	  121	   0.000031898703534
    1	    0	  121	   0.000172045119589
    0	    0	  122	   0.000031679026251
    1	    0	  122	   0.000169226330201
    0	    0	  123	   0.000031104570809
    1	    0	  123	   0.000165947006819
    0	    0	  124	   0.000030857182863
    1	    0	  124	   0.000162953579161
    0	    0	  125	   0.000030609930917
    1	    0	  125	   0.000159968810583
    0	    0	  126	   0.000029201472175
    1	    0	  126	   0.000156480004869
    0	    0	  127	   0.000028976968846
    1	    0	  127	   0.000153297554976
    0	    0	  128	   0.000028721988492
    1	    0	  128	   0.000150277528448
    0	    0	  129	   0.000023973198319
    1	    0	  129	   0.000148031947315
    0	    0	  130	   0.000023638424198
    1	    0	  130	   0.000144963954608
    0	    0	  131	   0.000023388410405
    1	    0	  131	   0.000142373844175
    0	    0	  132	   0.000004522614001
    1	    0	  132	   0.000139013224347
    0	    0	  133	   0.000004364253579
    1	    0	  133	   0.000136923504187
    0	    0	  134	   0.000004221171924
    1	    0	  134	   0.000133645617159
    0	    0	  135	   0.000004091481375
    1	    0	  135	   0.000131314762828
    0	    0	  136	   0.000003924471848
    1	    0	  136	   0.000128068927120
    0	    0	  137	   0.000003768670133
    1	    0	  137	   0.000125304641572
    0	    0	  138	   0.000003659416413
    1	    0	  138	   0.000120438410480
    0	    0	  139	   0.000003491409314
    1	    0	  139	   0.000117416451208
    0	    0	  140	   0.000003349180849
    1	    0	  140	   0.000113220887034
    0	    0	  141	   0.000003253939122
    1	    0	  141	   0.000110397411307
    0	    0	  142	   0.000003113636894
    1	    0	  142	   0.000106613612838
    0	    0	  143	   0.000002969415677
    1	    0	  143	   0.000104851014491
    0	    0	  144	   0.000002880230699
    1	    0	  144	   0.000102002317383
    0	    0	  145	   0.000002748841132
    1	    0	  145	   0.000099636089366
    0	    0	  146	   0.000002628287363
    1	    0	  146	   0.000096706165933
    0	    0	  147	   0.000002545322867
    1	    0	  147	   0.000094176816221
    0	    0	  148	   0.000002423611081
    1	    0	  148	   0.000091187914485
    0	    0	  149	   0.000002315223497
    1	    0	  149	   0.000088494983778
    0	    0	  150	   0.000002243678796
    1	    0	  150	   0.000085753351181
    0	    0	  151	   0.000002137905026
    1	    0	  151	   0.000082953765497
    0	    0	  152	   0.000002044251444
    1	    0	  152	   0.000080258947894
    0	    0	  153	   0.000002011450323
    1	    0	  153	   0.000077699742061
    0	    0	  154	   0.000001927976267
    1	    0	  154	   0.000075130603512
    0	    0	  155	   0.000001841776684
    1	    0	  155	   0.000072627234740
    0	    0	  156	   0.000001757742424
    1	    0	  156	   0.000070177252887
    0	    0	  157	   0.000001676152484
    1	    0	  157	   0.000067862925514
    0	    0	  158	   0.000001596164799
    1	    0	  158	   0.000065447984787
    0	    0	  159	   0.000001518680659
    1	    0	  159	   0.000063142381165
    0	    0	  160	   0.000001443705117
    1	    0	  160	   0.000060823265600
    0	    0	  161	   0.000001370440078
    1	    0	  161	   0.000058557806975
    0	    0	  162	   0.000001299635500
    1	    0	  162	   0.000056311139561
    0	    0	  163	   0.000001231483321
    1	    0	  163	   0.000054089094240
    0	    0	  164	   0.000001164984540
    1	    0	  164	   0.000051902699851
    0	    0	  165	   0.000001101253955
    1	    0	  165	   0.000049747015888
    0	    0	  166	   0.000001040210184
    1	    0	  166	   0.000047646971404
    0	    0	  167	   0.000000980557585
    1	    0	  167	   0.000045573354723
    0	    0	  168	   0.000000924291470
    1	    0	  168	   0.000043549665962
    0	    0	  169	   0.000000870463483
    1	    0	  169	   0.000041536376374
    0	    0	  170	   0.000000819013042
    1	    0	  170	   0.000039344217855
    0	    0	  171	   0.000000770639836
    1	    0	  171	   0.000037345831305
    0	    0	  172	   0.000000724265581
    1	    0	  172	   0.000035285880365
    0	    0	  173	   0.000000679938445
    1	    0	  173	   0.000033396902047
    0	    0	  174	   0.000000637649606
    1	    0	  174	   0.000031727597767
    0	    0	  175	   0.000000597212768
    1	    0	  175	   0.000030068046275
    0	    0	  176	   0.000000558558202
    1	    0	  176	   0.000028536070829
    0	    0	  177	   0.000000521939215
    1	    0	  177	   0.000027027916489
    0	    0	  178	   0.000000486804119
    1	    0	  178	   0.000025619989889
    0	    0	  179	   0.000000453503104
    1	    0	  179	   0.000024246863341
    0	    0	  180	   0.000000422505139
    1	    0	  180	   0.000022875905033
    0	    0	  181	   0.000000393327804
    1	    0	  181	   0.000021219589412
    0	    0	  182	   0.000000366022109
    1	    0	  182	   0.000019798777941
    0	    0	  183	   0.000000340407987
    1	    0	  183	   0.000018535888327
    0	    0	  184	   0.000000315979281
    1	    0	  184	   0.000017380789574
    0	    0	  185	   0.000000292769468
    1	    0	  185	   0.000016547864263
    0	    0	  186	   0.000000270856842
    1	    0	  186	   0.000015700673819
    0	    0	  187	   0.000000250127811
    1	    0	  187	   0.000014826852782
    0	    0	  188	   0.000000230683070
    1	    0	  188	   0.000013953121663
    0	    0	  189	   0.000000212487691
    1	    0	  189	   0.000013092375638
    0	    0	  190	   0.000000195330875
    1	    0	  190	   0.000012253953966
    0	    0	  191	   0.000000179495826
    1	    0	  191	   0.000011447789831
    0	    0	  192	   0.000000164634401
    1	    0	  192	   0.000010676992870
    0	    0	  193	   0.000000150743725
    1	    0	  193	   0.000009941125874
    0	    0	  194	   0.000000138127354
    1	    0	  194	   0.000009241240456
    0	    0	  195	   0.000000126112792
    1	    0	  195	   0.000008577354961
    0	    0	  196	   0.000000115234739
    1	    0	  196	   0.000007951612232
    0	    0	  197	   0.000000105143436
    1	    0	  197	   0.000007363019418
    0	    0	  198	   0.000000095808104
    1	    0	  198	   0.000006812552046
    0	    0	  199	   0.000000087182132
    1	    0	  199	   0.000006293943756
    0	    0	  200	   0.000000079218970
    1	    0	  200	   0.000005807124336
    0	    0	  201	   0.000000071873802
    1	    0	  201	   0.000005353480129
    0	    0	  202	   0.000000065123741
    1	    0	  202	   0.000004930208247
    0	    0	  203	   0.000000058934612
    1	    0	  203	   0.000004525434096
    0	    0	  204	   0.000000053258041
    1	    0	  204	   0.000004141942647
    0	    0	  205	   0.000000048069658
    1	    0	  205	   0.000003788859679
    0	    0	  206	   0.000000043293297
    1	    0	  206	   0.000003473437629
    0	    0	  207	   0.000000038995964
    1	    0	  207	   0.000003176361404
    0	    0	  208	   0.000000035130257
    1	    0	  208	   0.000002860319008
    0	    0	  209	   0.000000031624899
    1	    0	  209	   0.000002568977098
    0	    0	  210	   0.000000028472522
    1	    0	  210	   0.000002316717392
    0	    0	  211	   0.000000025579363
    1	    0	  211	   0.000002091680387
    0	    0	  212	   0.000000022920286
    1	    0	  212	   0.000001918746732
    0	    0	  213	   0.000000020483040
    1	    0	  213	   0.000001765323245
    0	    0	  214	   0.000000018261812
    1	    0	  214	   0.000001620312024
    0	    0	  215	   0.000000016245414
    1	    0	  215	   0.000001478474946
    0	    0	  216	   0.000000014417955
    1	    0	  216	   0.000001343784095
    0	    0	  217	   0.000000012767774
    1	    0	  217	   0.000001218735687
    0	    0	  218	   0.000000011282162
    1	    0	  218	   0.000001101422732
    0	    0	  219	   0.000000009949091
    1	    0	  219	   0.000000991938206
    0	    0	  220	   0.000000008753534
    1	    0	  220	   0.000000891857342
    0	    0	  221	   0.000000007687307
    1	    0	  221	   0.000000800334159
    0	    0	  222	   0.000000006757672
    1	    0	  222	   0.000000705337411
    0	    0	  223	   0.000000005933906
