 TYPE	 PROD	ASSET	               endoK	                  VE
    0	    0	    0	   0.000000000000000	   0.000000000000000
    1	    0	    0	   0.000000000000000	   0.000000000000000
    0	    0	    1	   0.042439785885592	   0.000000055318112
    1	    0	    1	   0.045998880934881	   0.000000169223930
    0	    0	    2	   0.085868135676009	   0.000000144011465
    1	    0	    2	   0.092261878794426	   0.000000613347375
    0	    0	    3	   0.130652112583324	   0.000000279264377
    1	    0	    3	   0.139721160725085	   0.000001193657243
    0	    0	    4	   0.176895750331662	   0.000000296818231
    1	    0	    4	   0.188571326948144	   0.000001297378196
    0	    0	    5	   0.224675150215939	   0.000000289002327
    1	    0	    5	   0.238928442238712	   0.000001260558750
    0	    0	    6	   0.274057989690573	   0.000000346787816
    1	    0	    6	   0.290882865355600	   0.000001487615482
    0	    0	    7	   0.325109120828842	   0.000000341159892
    1	    0	    7	   0.344514239101517	   0.000001462994810
    0	    0	    8	   0.377892815642974	   0.000000331047013
    1	    0	    8	   0.399897410926004	   0.000001370047585
    0	    0	    9	   0.432473862843201	   0.000000347491090
    1	    0	    9	   0.457105256514683	   0.000001376570659
    0	    0	   10	   0.488918185104239	   0.000000439052187
    1	    0	   10	   0.516210211884659	   0.000001683032286
    0	    0	   11	   0.547293228449844	   0.000000377811368
    1	    0	   11	   0.577285190918930	   0.000001492233824
    0	    0	   12	   0.607668233030093	   0.000000392015646
    1	    0	   12	   0.640404181565018	   0.000001461664042
    0	    0	   13	   0.670114438004700	   0.000000411602925
    1	    0	   13	   0.705642661793804	   0.000001470359582
    0	    0	   14	   0.734705248101788	   0.000000459542202
    1	    0	   14	   0.773077908914369	   0.000001635042174
    0	    0	   15	   0.801516377235837	   0.000000624422030
    1	    0	   15	   0.842789243179119	   0.000001532493532
    0	    0	   16	   0.870625978242184	   0.000000830421656
    1	    0	   16	   0.914858229678843	   0.000001478888805
    0	    0	   17	   0.942114764311021	   0.000001225173814
    1	    0	   17	   0.989368853236212	   0.000002551081719
    0	    0	   18	   1.016066125704172	   0.000001590370841
    1	    0	   18	   1.066407675662540	   0.000003633124056
    0	    0	   19	   1.092566244140638	   0.000001232064142
    1	    0	   19	   1.146063981543940	   0.000001428137595
    0	    0	   20	   1.171704206495467	   0.000001867329044
    1	    0	   20	   1.228429916741520	   0.000024375545080
    0	    0	   21	   1.253572118983851	   0.000002345639833
    1	    0	   21	   1.313600622525926	   0.000044315926860
    0	    0	   22	   1.338265222693604	   0.000002293515762
    1	    0	   22	   1.401674367438639	   0.000037357317585
    0	    0	   23	   1.425882011123068	   0.000010379399324
    1	    0	   23	   1.492752678417948	   0.000105201355541
    0	    0	   24	   1.516524350241613	   0.000014520098848
    1	    0	   24	   1.586940472348892	   0.000141681178115
    0	    0	   25	   1.610297601493476	   0.000018073337020
    1	    0	   25	   1.684346188933249	   0.000151372693016
    0	    0	   26	   1.707310748098619	   0.000020272091192
    1	    0	   26	   1.785081925590204	   0.000172869894100
    0	    0	   27	   1.807676524957300	   0.000022465357379
    1	    0	   27	   1.889263574965897	   0.000191362142800
    0	    0	   28	   1.911511552432063	   0.000023474056358
    1	    0	   28	   1.997010965534592	   0.000202466369315
    0	    0	   29	   2.018936474257907	   0.000024757773594
    1	    0	   29	   2.108448005704972	   0.000213790961089
    0	    0	   30	   2.130076099815525	   0.000025667782729
    1	    0	   30	   2.223702831794511	   0.000221140751726
    0	    0	   31	   2.245059550992065	   0.000025197428770
    1	    0	   31	   2.342907960198131	   0.000218105990034
    0	    0	   32	   2.364020413847196	   0.000024730091102
    1	    0	   32	   2.466200444050583	   0.000220058380575
    0	    0	   33	   2.487096895298706	   0.000023373425679
    1	    0	   33	   2.593722034662868	   0.000222487702014
    0	    0	   34	   2.614431985040503	   0.000022711441707
    1	    0	   34	   2.725619347999598	   0.000216362572394
    0	    0	   35	   2.746173622906371	   0.000021886312339
    1	    0	   35	   2.862044036455132	   0.000208793016962
    0	    0	   36	   2.882474871894729	   0.000019809957877
    1	    0	   36	   3.003152966180722	   0.000176851424273
    0	    0	   37	   3.023494097084981	   0.000018143770828
    1	    0	   37	   3.149108400212012	   0.000155444837118
    0	    0	   38	   3.169395150591001	   0.000016963891768
