 PROD	               ASSET	             saveWW0	             saveUS0	             saveUL0	             saveWW1	             saveUS1	             saveUL1
    0	   0.000000000000000	   0.000000000000000	   0.042038413840824	   0.000000000000000	   0.000000000000000	   0.028895880241031	   0.000000000000000
    0	   0.028895878633786	   0.000000000000000	   0.063757774061700	   0.000000000000000	   0.000000000000000	   0.028895885576580	   0.000000000000000
    0	   0.058626729069591	   0.024107672917001	   0.089216701418963	   0.028895879788860	   0.024107672917001	   0.028895879074994	   0.000000000000000
    0	   0.089216678551268	   0.028895891169042	   0.120690516789359	   0.028895885154833	   0.028895891169042	   0.058626722488572	   0.028895885114958
    0	   0.120690551500581	   0.055548810090172	   0.125045484217224	   0.058626734519943	   0.056264803029252	   0.082158090025686	   0.028895892325033
    0	   0.153073889662773	   0.074040184757025	   0.153073932137732	   0.089216661944364	   0.074348760260402	   0.089216704671813	   0.028895893985087
    0	   0.186392972834257	   0.089216704581859	   0.185338866576805	   0.111433332486875	   0.089216704581859	   0.117484248227445	   0.058626722729941
    0	   0.220674840189252	   0.119689830985788	   0.211222019644052	   0.120690561164420	   0.119846394398496	   0.120690567705307	   0.074805272001258
    0	   0.255947312222677	   0.143453843078796	   0.245118138074016	   0.153073910586699	   0.143696938528604	   0.141341228319587	   0.089216698256802
    0	   0.292239013327094	   0.164637454087385	   0.264387001738737	   0.186392927948076	   0.164761812799491	   0.153073889049872	   0.119503365920865
    0	   0.329579395022038	   0.186393065659118	   0.297164578354878	   0.216890168147628	   0.186393065659118	   0.186392952522722	   0.120690564682408
    0	   0.367998759854577	   0.220674786242316	   0.329579467330458	   0.254798291031745	   0.220674786242316	   0.208391208011654	   0.151315837328806
    0	   0.407528285990505	   0.247534925854684	   0.366995873979535	   0.277708367268817	   0.247578411120037	   0.238039250610893	   0.158720250641530
    0	   0.448200052516108	   0.276877171657053	   0.398725691432753	   0.314468882437428	   0.276879582560625	   0.255947365405399	   0.186392990601938
    0	   0.490047065471057	   0.305491666133156	   0.431682838215051	   0.340586389059314	   0.305492101864900	   0.292239018147835	   0.220674816879135
    0	   0.533103284633538	   0.331083716164360	   0.466594120862297	   0.375429716339606	   0.331074359536008	   0.327469230733722	   0.255947319406479
    0	   0.577403651079368	   0.367998719977957	   0.506201962153781	   0.411523203038551	   0.367998719977957	   0.342420631678817	   0.277508546590599
    0	   0.622984115537448	   0.407528212213979	   0.540467416408172	   0.449547081087200	   0.407528212213979	   0.369804907729086	   0.310256828807919
    0	   0.669881667564581	   0.446547898258285	   0.581835432721170	   0.492232283095109	   0.446503279075489	   0.407528278746850	   0.329579483482516
    0	   0.718134365563312	   0.482006092201045	   0.624242073509482	   0.533103293944562	   0.481972309377980	   0.448200111334646	   0.367998804985574
    0	   0.767781367667167	   0.519578092872508	   0.669881820869620	   0.577403777429519	   0.519541428905888	   0.488826585827445	   0.407528209222774
    0	   0.818862963518346	   0.555491145677765	   0.718134291871637	   0.622984432274504	   0.555455946872675	   0.527864279081299	   0.448199895366921
    0	   0.871420606963662	   0.594181328991286	   0.764198257660608	   0.669881564113106	   0.594144685304382	   0.560529276119537	   0.487858725832197
    0	   0.925496949695250	   0.636933202220074	   0.811461790293146	   0.718134236873189	   0.636899679593709	   0.601333620695931	   0.530263598464998
    0	   0.981135875863370	   0.680210222064865	   0.860328381340979	   0.767781261084258	   0.680178893148524	   0.644584060071680	   0.566346816499903
    0	   1.038382537689358	   0.725610579977719	   0.911632630967250	   0.818862832051340	   0.725579032624577	   0.682954450987766	   0.610661746300387
    0	   1.097283392107659	   0.771531213490575	   0.960678661816773	   0.871420323959443	   0.771496200318500	   0.727847872003767	   0.657499208737755
    0	   1.157886238466658	   0.818863132690649	   1.014458160097707	   0.925496894685567	   0.818863132690649	   0.774748362617415	   0.699488457131743
    0	   1.220240257318908	   0.871420972242247	   1.070500580527348	   0.981135483910124	   0.871420972242247	   0.823368966372936	   0.748123790953641
    0	   1.284396050332241	   0.925497033646109	   1.125866678715102	   1.038381881485135	   0.925497033646109	   0.874985597253150	   0.798876461172026
    0	   1.350405681354142	   0.981136057168791	   1.183868994276910	   1.097283211285341	   0.981136057172333	   0.926078703709600	   0.851453277147118
    0	   1.418322718662713	   1.038382630079264	   1.244654535068518	   1.157886057486058	   1.038382630085075	   0.997417522774762	   0.907137716699259
    0	   1.488202278438519	   1.097283399003510	   1.307121059368551	   1.220239808204256	   1.097283399029803	   1.056909523246546	   0.962376446849918
    0	   1.560101069492589	   1.157886374434187	   1.370861330706976	   1.284395368198130	   1.157886374462476	   1.115486706552298	   1.037562214482155
    0	   1.634077439286873	   1.220240219028381	   1.437010273062906	   1.350405510562438	   1.220240219223929	   1.176344297884607	   1.097283198612870
    0	   1.710191421284502	   1.284395697967745	   1.516606154417221	   1.418322458811958	   1.284395965343588	   1.239769631187267	   1.157886339372766
    0	   1.788504783668267	   1.350405281502050	   1.590206683410431	   1.488202514930979	   1.350406009135638	   1.305325409354345	   1.220240325650676
    0	   1.869081079466878	   1.418322879917777	   1.663040590802163	   1.563938107837664	   1.418322879920566	   1.373063393221449	   1.284396451347235
    0	   1.951985698129646	   1.488202297213135	   1.738496318925793	   1.639369048615954	   1.488980397198211	   1.442732876143134	   1.350406045573577
    0	   2.037285918591472	   1.560101329064772	   1.816282332645394	   1.717486445209477	   1.562106370788568	   1.521140668747879	   1.422045513915395
    0	   2.125050963871200	   1.634077605201839	   1.896166040912308	   1.798000148523236	   1.637944284058971	   1.596937519545016	   1.503100994337855
