 TYPE	 PROD	               ASSET	              VEtoWW
    0	    0	   0.000000000000000	   0.000003101058425
    1	    0	   0.000000000000000	   0.000003694888473
    0	    0	   0.028895878633786	   0.000001779015711
    1	    0	   0.028895878633786	   0.000003268730274
    0	    0	   0.058626729069591	   0.000001695111597
    1	    0	   0.058626729069591	   0.000001657254159
    0	    0	   0.089216678551268	   0.000001370949163
    1	    0	   0.089216678551268	   0.000002331988124
    0	    0	   0.120690551500581	   0.000001234386212
    1	    0	   0.120690551500581	   0.000001047439273
    0	    0	   0.153073889662773	   0.000001239910137
    1	    0	   0.153073889662773	   0.000001517019672
    0	    0	   0.186392972834257	   0.000001316157837
    1	    0	   0.186392972834257	   0.000001406488349
    0	    0	   0.220674840189252	   0.000001740694329
    1	    0	   0.220674840189252	   0.000001167316512
    0	    0	   0.255947312222677	   0.000001827402809
    1	    0	   0.255947312222677	   0.000001229783097
    0	    0	   0.292239013327094	   0.000002359136600
    1	    0	   0.292239013327094	   0.000001502592544
    0	    0	   0.329579395022038	   0.000002485869600
    1	    0	   0.329579395022038	   0.000001670284661
    0	    0	   0.367998759854577	   0.000002432445688
    1	    0	   0.367998759854577	   0.000001577067663
    0	    0	   0.407528285990505	   0.000002547018193
    1	    0	   0.407528285990505	   0.000001562825197
    0	    0	   0.448200052516108	   0.000003470406701
    1	    0	   0.448200052516108	   0.000002003972253
    0	    0	   0.490047065471057	   0.000003559841800
    1	    0	   0.490047065471057	   0.000002186352928
    0	    0	   0.533103284633538	   0.000008656126850
    1	    0	   0.533103284633538	   0.000002482623234
    0	    0	   0.577403651079368	   0.000009959351740
    1	    0	   0.577403651079368	   0.000002517652076
    0	    0	   0.622984115537448	   0.000012281379116
    1	    0	   0.622984115537448	   0.000007498150264
    0	    0	   0.669881667564581	   0.000016190825927
    1	    0	   0.669881667564581	   0.000018449681488
    0	    0	   0.718134365563312	   0.000016909436795
    1	    0	   0.718134365563312	   0.000016913757481
    0	    0	   0.767781367667167	   0.000016770330552
    1	    0	   0.767781367667167	   0.000010931698044
    0	    0	   0.818862963518346	   0.000016864380583
    1	    0	   0.818862963518346	   0.000000240496196
    0	    0	   0.871420606963662	   0.000023032549366
    1	    0	   0.871420606963662	   0.000000850837601
    0	    0	   0.925496949695250	   0.000023098233291
    1	    0	   0.925496949695250	   0.000000854443684
    0	    0	   0.981135875863370	   0.000025310457216
    1	    0	   0.981135875863370	   0.000001073102529
    0	    0	   1.038382537689358	   0.000024132145550
    1	    0	   1.038382537689358	   0.000000926256590
    0	    0	   1.097283392107659	   0.000032544892140
    1	    0	   1.097283392107659	   0.000001743409034
