 PROD	               ASSET	               endoK
    0	   0.000000000000000	   0.000000000000000
    0	   0.017215430659988	   0.000000000000000
    0	   0.034727232372785	   0.000000000000000
    0	   0.052540507293700	   0.000000000000000
    0	   0.070660445413842	   0.000000000000000
    0	   0.089092326072256	   0.000000000000000
    0	   0.107841519494078	   0.000000000000000
    0	   0.126913488355184	   0.000000000000000
    0	   0.146313789373768	   0.000000000000000
    0	   0.166048074929320	   0.000000000000000
    0	   0.186122094709478	   0.000000000000000
    0	   0.206541697385228	   0.000000000000000
    0	   0.227312832314948	   0.000000000000000
    0	   0.248441551277779	   0.000000000000000
    0	   0.269934010236849	   0.000000000000000
    0	   0.291796471132842	   0.000000000000000
    0	   0.314035303708446	   0.000000000000000
    0	   0.336656987364215	   0.000000000000000
    0	   0.359668113046372	   0.000000000000000
    0	   0.383075385167118	   0.000000000000000
    0	   0.406885623557999	   0.000000000000000
    0	   0.431105765456895	   0.000000000000000
    0	   0.455742867529228	   0.000000000000000
    0	   0.480804107923949	   0.000000000000000
    0	   0.506296788364939	   0.000000000000000
    0	   0.532228336278398	   0.000000000000000
    0	   0.558606306956867	   0.000000000000000
    0	   0.585438385760503	   0.000000000000000
    0	   0.612732390356246	   0.000000000000000
    0	   0.640496272995540	   0.000000000000000
    0	   0.668738122831263	   0.000000000000000
    0	   0.697466168274543	   1.026062351096652
    0	   0.726688779392149	   1.068257393553625
    0	   0.756414470345154	   1.111152029187781
    0	   0.786651901869580	   1.154758629160068
    0	   0.817409883799751	   1.199089746324955
    0	   0.848697377635082	   1.244158120932943
    0	   0.880523499151061	   1.289976686132017
    0	   0.912897521055173	   1.336558573306030
    0	   0.945828875688561	   1.383917117281950
    0	   0.979327157774180	   1.432065861433021
    0	   1.013402127212272	   1.481018562700832
    0	   1.048063711923966	   1.530789196555975
    0	   1.083322010743831	   1.581391961914233
    0	   1.119187296362218	   1.632841286022962
    0	   1.155670018318269	   1.685151829330453
    0	   1.192780806044442	   1.738338490349395
    0	   1.230530471963453	   1.792416410524337
    0	   1.268930014638529	   1.847400979111807
    0	   1.307990621977904	   1.903307838080868
    0	   1.347723674494467	   1.960152887041029
    0	   1.388140748621538	   2.017952288203789
    0	   1.429253620085724	   2.076722471383452
    0	   1.471074267337834	   2.136480139042390
    0	   1.513614875042869	   2.197242271385479
    0	   1.556887837630083	   2.259026131508052
    0	   1.600905762904170	   2.321849270601442
    0	   1.645681475718610	   2.385729533219855
    0	   1.691228021712258	   2.450685062612112
    0	   1.737558671110262	   2.516734306121623
    0	   1.784686922590408	   2.583896020657691
    0	   1.832626507216039	   2.652189278241222
    0	   1.881391392436660	   2.721633471627662
    0	   1.930995786157439	   2.792248320009986
    0	   1.981454140878749	   2.864053874804371
    0	   2.032781157906982	   2.937070525521179
    0	   2.084991791637847	   3.011319005723770
    0	   2.138101253913419	   3.086820399077625
    0	   2.192125018454187	   3.163596145492212
    0	   2.247078825367398	   3.241668047357960
    0	   2.302978685733025	   3.321058275880743
    0	   2.359840886268679	   3.401789377516174
    0	   2.417681994074830	   3.483884280506053
    0	   2.476518861461714	   3.567366301519252
    0	   2.536368630859349	   3.652259152399358
    0	   2.597248739812064	   3.738586947021360
    0	   2.659176926059027	   3.826374208259684
    0	   2.722171232702224	   3.915645875069863
    0	   2.786250013463410	   4.006427309686166
    0	   2.851431938031567	   4.098744304937515
    0	   2.917735997502413	   4.192623091683993
    0	   2.985181509911553	   4.288090346376320
    0	   3.053788125862902	   4.385173198740679
    0	   3.123575834253977	   4.483899239591227
    0	   3.194564968099778	   4.584296528772776
    0	   3.266776210456914	   4.686393603236021
    0	   3.340230600449719	   4.790219485247815
    0	   3.414949539400119	   4.895803690738981
    0	   3.490954797063008	   5.003176237792155
    0	   3.568268517968987	   5.112367655272254
    0	   3.646913227876286	   5.223408991602133
    0	   3.726911840333772	   5.336331823686058
