 TYPE	 PROD	               ASSET	             ValueVE	            ValueVEc	              SaveVE	             endoKVE	          SearchWWVE
    0	    0	   0.000000000000000	-1000.000000000000000	-1000.000000000000000	   0.000000000000000	   0.000000000000000	   0.000000000000000
    0	    0	   0.028895878633786	 -31.252838176410364	 -31.252838176410364	   0.000000000000000	   0.035218213436237	   0.689917101843530
    0	    0	   0.058626729069591	 -29.110591059108888	 -29.110591059108888	   0.000000000000000	   0.071086071110788	   0.689917101843530
    0	    0	   0.089216678551268	 -28.080309144669378	 -28.080309144669378	   0.000000000000000	   0.107871950209688	   0.689917101843530
    0	    0	   0.120690551500581	 -27.432077490981548	 -27.432077490981548	   0.000000000000000	   0.145645831908116	   0.689917101843530
    0	    0	   0.153073889662773	 -26.970892986397548	 -26.970892986397548	   0.000000000000000	   0.184455709934011	   0.689917101843530
    0	    0	   0.186392972834257	 -26.618487676131782	 -26.618487676131782	   0.000000000000000	   0.224342506001511	   0.689917101843530
    0	    0	   0.220674840189252	 -26.200699199600216	 -26.200699199600216	   0.028895888689643	   0.265344357147164	   0.543787587327619
    0	    0	   0.255947312222677	 -25.929648540248920	 -25.929648540248920	   0.028895888445008	   0.307498326762724	   0.543787587640000
    0	    0	   0.292239013327094	 -25.691260670134305	 -25.691260670134305	   0.058626708309333	   0.350841229065704	   0.498854086867975
    0	    0	   0.329579395022038	 -25.473159085139027	 -25.473159085139027	   0.058626743497047	   0.395410081640149	   0.498854037776275
    0	    0	   0.367998759854577	 -25.272038745604963	 -25.272038745604963	   0.089216669326748	   0.441242380121858	   0.471659363870703
    0	    0	   0.407528285990505	 -25.088724080089207	 -25.088724080089207	   0.108979561628160	   0.488376279502512	   0.459969414750092
    0	    0	   0.448200052516108	 -24.912981679446027	 -24.912981679446027	   0.128593924067519	   0.536850722870187	   0.449102234154748
    0	    0	   0.490047065471057	 -24.744773758245802	 -24.744773758245802	   0.154531420933354	   0.586705538954316	   0.437491308230233
    0	    0	   0.533103284633538	 -24.582659259832116	 -24.582659259832116	   0.193585679585692	   0.637981520398299	   0.423856677152461
    0	    0	   0.577403651079368	 -24.422822518633485	 -24.422822518633485	   0.220674854977198	   0.690720489769931	   0.412462097552111
    0	    0	   0.622984115537448	 -24.270034983751376	 -24.270034983751376	   0.255947295987949	   0.744965357616234	   0.402482709447774
    0	    0	   0.669881667564581	 -24.121655412747138	 -24.121655412747138	   0.292239091095439	   0.800760175310032	   0.394475046859112
    0	    0	   0.718134365563312	 -23.976396034731284	 -23.976396034731284	   0.329579369671734	   0.858150184499717	   0.387363293211010
    0	    0	   0.767781367667167	 -23.835175511938679	 -23.835175511938679	   0.367998754301802	   0.917181864392472	   0.380905346249264
    0	    0	   0.818862963518346	 -23.697211845252507	 -23.697211845252507	   0.407528263528385	   0.977902977729354	   0.375289664600138
    0	    0	   0.871420606963662	 -23.560910957261001	 -23.560910957261001	   0.448200094330854	   1.040362616066553	   0.369942761345710
    0	    0	   0.925496949695250	 -23.426562982698922	 -23.426562982698922	   0.490047219256775	   1.104611244813164	   0.365053392757533
    0	    0	   0.981135875863370	 -23.294034386732090	 -23.294034386732090	   0.533103558156164	   1.170700748363527	   0.360481418689550
    0	    0	   1.038382537689358	 -23.163459351067456	 -23.163459351067456	   0.578597719915596	   1.238684475583790	   0.355815051935522
    0	    0	   1.097283392107659	 -23.034784913600063	 -23.034784913600063	   0.629335076561566	   1.308617285856956	   0.351217348472061
    0	    0	   1.157886238466658	 -22.907261722846119	 -22.907261722846119	   0.681230391082365	   1.380555595850805	   0.346932935512711
    0	    0	   1.220240257318908	 -22.780912029259415	 -22.780912029259415	   0.734601784878362	   1.454557427144236	   0.342853797166383
    0	    0	   1.284396050332241	 -22.655759488835308	 -22.655759488835308	   0.788847365451749	   1.530682454826395	   0.339090161324027
    0	    0	   1.350405681354142	 -22.531781232601368	 -22.531781232601368	   0.845586752025286	   1.608992057167332	   0.335371643266617
    0	    0	   1.418322718662713	 -22.408806605529414	 -22.408806605529414	   0.904268578132252	   1.689549366447382	   0.331714523527953
    0	    0	   1.488202278438519	 -22.286652134737061	 -22.286652134737061	   0.965766574268970	   1.772419321023845	   0.328148090821579
    0	    0	   1.560101069492589	 -22.165259110245984	 -22.165259110245984	   1.028675516670421	   1.857668718707202	   0.324753203361219
    0	    0	   1.634077439286873	 -22.044599197711392	 -22.044599197711392	   1.093659253218207	   1.945366271514388	   0.321489354913046
    0	    0	   1.710191421284502	 -21.924652078457783	 -21.924652078457783	   1.157885988657459	   2.035582661863262	   0.318411026680417
    0	    0	   1.788504783668267	 -21.805533088178475	 -21.805533088178475	   1.220240063103765	   2.128390600269975	   0.315567910456485
    0	    0	   1.869081079466878	 -21.687101578870315	 -21.687101578870315	   1.284396417813285	   2.223864884609334	   0.312781496548834
    0	    0	   1.951985698129646	 -21.569129287592112	 -21.569129287592112	   1.358597897768739	   2.322082460997181	   0.309763213020621
    0	    0	   2.037285918591472	 -21.451370880600031	 -21.451370880600031	   1.435408562029825	   2.423122486353316	   0.306847636392649
    0	    0	   2.125050963871200	 -21.333927831287834	 -21.333927831287834	   1.514036871116724	   2.527066392703306	   0.304024879762590
    0	    0	   2.215352057247619	 -21.216835982772384	 -21.216835982772384	   1.595144844764901	   2.633997953277714	   0.301264396822745
