 TYPE	 PROD	ASSET	               endoK	                  VE
    0	    0	    0	   0.000000000000000	   0.000000000000000
    1	    0	    0	   0.000000000000000	   0.000000000000000
    0	    0	    1	   0.035218213436237	   0.000000078553672
    1	    0	    1	   0.038138081831479	   0.000000212000426
    0	    0	    2	   0.071086071110788	   0.000000383894605
    1	    0	    2	   0.076369757150019	   0.000001439223227
    0	    0	    3	   0.107871950209688	   0.000000592983196
    1	    0	    3	   0.115390372144207	   0.000002395812802
    0	    0	    4	   0.145645831908116	   0.000000436124652
    1	    0	    4	   0.155339946783281	   0.000001663268050
    0	    0	    5	   0.184455709934011	   0.000000590980119
    1	    0	    5	   0.196297464534560	   0.000002334653854
    0	    0	    6	   0.224342506001511	   0.000000673055574
    1	    0	    6	   0.238321400493774	   0.000002636255236
    0	    0	    7	   0.265344357147164	   0.000000532210108
    1	    0	    7	   0.281461272523052	   0.000001858439374
    0	    0	    8	   0.307498326762724	   0.000000585380577
    1	    0	    8	   0.325762207392296	   0.000002030960574
    0	    0	    9	   0.350841229065704	   0.000000716762462
    1	    0	    9	   0.371267111371242	   0.000002405039297
    0	    0	   10	   0.395410081640149	   0.000000799503766
    1	    0	   10	   0.418017837907804	   0.000002696346584
    0	    0	   11	   0.441242380121858	   0.000000647448851
    1	    0	   11	   0.466055876096668	   0.000002016883037
    0	    0	   12	   0.488376279502512	   0.000000666874966
    1	    0	   12	   0.515422787359861	   0.000002028326504
    0	    0	   13	   0.536850722870187	   0.000000828574438
    1	    0	   13	   0.566160500001708	   0.000002349438300
    0	    0	   14	   0.586705538954316	   0.000000847052001
    1	    0	   14	   0.618311518934933	   0.000002362704148
    0	    0	   15	   0.637981520398299	   0.000001422966251
    1	    0	   15	   0.671919082485152	   0.000002544422742
    0	    0	   16	   0.690720489769931	   0.000001549323221
    1	    0	   16	   0.727027284991978	   0.000002369600949
    0	    0	   17	   0.744965357616234	   0.000001885192816
    1	    0	   17	   0.783681176675626	   0.000003117186527
    0	    0	   18	   0.800760175310032	   0.000002536966579
    1	    0	   18	   0.841926848061128	   0.000005119811969
    0	    0	   19	   0.858150184499717	   0.000002644130398
    1	    0	   19	   0.901811503747353	   0.000004887953057
    0	    0	   20	   0.917181864392472	   0.000002590578606
    1	    0	   20	   0.963383528753378	   0.000003842564603
    0	    0	   21	   0.977902977729354	   0.000002668752561
    1	    0	   21	   1.026692549680415	   0.000013150553295
    0	    0	   22	   1.040362616066553	   0.000003832789995
    1	    0	   22	   1.091789492274804	   0.000041518514350
    0	    0	   23	   1.104611244813164	   0.000003939363714
    1	    0	   23	   1.158726636538973	   0.000041912787569
    0	    0	   24	   1.170700748363527	   0.000011123909627
    1	    0	   24	   1.227557670236544	   0.000081227477981
    0	    0	   25	   1.238684475583790	   0.000013305906556
    1	    0	   25	   1.298337741427642	   0.000084649507910
    0	    0	   26	   1.308617285856956	   0.000016575805032
    1	    0	   26	   1.371123510521309	   0.000129939042377
    0	    0	   27	   1.380555595850805	   0.000018822337287
    1	    0	   27	   1.445973202224483	   0.000132266363174
    0	    0	   28	   1.454557427144236	   0.000020530061785
    1	    0	   28	   1.522946657688524	   0.000140122845217
    0	    0	   29	   1.530682454826395	   0.000022405677849
    1	    0	   29	   1.602105387096391	   0.000155280849160
    0	    0	   30	   1.608992057167332	   0.000023429071089
    1	    0	   30	   1.683512622890351	   0.000166689649817
    0	    0	   31	   1.689549366447382	   0.000024497936643
    1	    0	   31	   1.767233373807597	   0.000175239741619
    0	    0	   32	   1.772419321023845	   0.000024395905940
    1	    0	   32	   1.853334479866535	   0.000175805162900
    0	    0	   33	   1.857668718707202	   0.000024760226420
    1	    0	   33	   1.941884668427703	   0.000178112920914
    0	    0	   34	   1.945366271514388	   0.000025023006752
    1	    0	   34	   2.032954611438923	   0.000179734448603
    0	    0	   35	   2.035582661863262	   0.000026471452130
    1	    0	   35	   2.126616983963269	   0.000207486719652
    0	    0	   36	   2.128390600269975	   0.000026045739380
    1	    0	   36	   2.222946524079962	   0.000203246161095
    0	    0	   37	   2.223864884609334	   0.000025578671238
    1	    0	   37	   2.322020094241879	   0.000198480008165
    0	    0	   38	   2.322082460997181	   0.000025075854115
