 TYPE	 PROD	               ASSET	             ValueVE	            ValueVEc	              SaveVE	             endoKVE	          SearchWWVE
    2	    0	   2.037285918591472	 -18.048808831187884	 -18.048808831187884	   0.996675303274112	   2.458582708010248	   0.379377459280006
    2	    0	   2.125050963871200	 -17.990494659416658	 -17.990494659416658	   1.090280303878038	   2.563823274472789	   0.375414074815159
    2	    0	   2.215352057247619	 -17.931867816893188	 -17.931867816893188	   1.157886392304565	   2.672080773682584	   0.372797393447597
    2	    0	   2.308262480058741	 -17.873024887828681	 -17.873024887828681	   1.251246614468994	   2.783442160505988	   0.369556392500657
    2	    0	   2.403857631171228	 -17.813598456961568	 -17.813598456961568	   1.349371397067422	   2.897996885352585	   0.366406961770369
    2	    0	   2.502215088168239	 -17.753727426141825	 -17.753727426141825	   1.431729328161947	   3.015836966618052	   0.363961260460306
    2	    0	   2.603414670305364	 -17.693431921657599	 -17.693431921657599	   1.534074532065379	   3.137057065162233	   0.361108425329895
    2	    0	   2.707538503285713	 -17.632543094671469	 -17.632543094671469	   1.634077714710379	   3.261754560887002	   0.358491636007317
    2	    0	   2.814671085906746	 -17.571163358780836	 -17.571163358780836	   1.736157226274823	   3.390029631479609	   0.355993457285879
    2	    0	   2.924899358632921	 -17.509141243651435	 -17.509141243651435	   1.848979044443943	   3.521985333388439	   0.353378878892873
    2	    0	   3.038312774149804	 -17.446461076606461	 -17.446461076606461	   1.951986159409949	   3.657727685099442	   0.351099823669761
    2	    0	   3.155003369956905	 -17.383228479987160	 -17.383228479987160	   2.072086652430158	   3.797365752782987	   0.348604918288447
    2	    0	   3.275065843058154	 -17.319216118845834	 -17.319216118845834	   2.197414681472677	   3.941011738382496	   0.346106487456609
    2	    0	   3.398597626810607	 -17.254475777748858	 -17.254475777748858	   2.309794598974230	   4.088781070217875	   0.343978102148910
    2	    0	   3.525698969993787	 -17.189069158885147	 -17.189069158885147	   2.444305542379920	   4.240792496178626	   0.341557517295280
    2	    0	   3.656473018163779	 -17.122726906283166	 -17.122726906283166	   2.583459911579121	   4.397168179583311	   0.339180817847938
    2	    0	   3.791025897358140	 -17.055462121140561	 -17.055462121140561	   2.715270973074770	   4.558033797784125	   0.337041888996623
    2	    0	   3.929466800219529	 -16.987142770252362	 -16.987142770252362	   2.866578180912954	   4.723518643597323	   0.334759495974372
    2	    0	   4.071908074607951	 -16.917604095794651	 -16.917604095794651	   3.021239897383846	   4.893755729642427	   0.332565395045426
    2	    0	   4.218465314773542	 -16.846578633499046	 -16.846578633499046	   3.181234471604158	   5.068881895675384	   0.330515469062015
    2	    0	   4.369257455163862	 -16.774074323680455	 -16.774074323680455	   3.347692300626521	   5.249037919003158	   0.328575445685773
    2	    0	   4.524406866941830	 -16.700058737235533	 -16.700058737235533	   3.520831092374642	   5.434368628069617	   0.326748092119258
    2	    0	   4.684039457292635	 -16.624663029357833	 -16.624663029357833	   3.686804594143312	   5.625023019305113	   0.325166721430977
    2	    0	   4.848284771600217	 -16.547901797585304	 -16.547901797585304	   3.864818920461108	   5.821154377334690	   0.323597525852898
    2	    0	   5.017276098576197	 -16.469849723875662	 -16.469849723875662	   4.047102846663919	   6.022920398642476	   0.322072885417406
    2	    0	   5.191150578426639	 -16.390583688368686	 -16.390583688368686	   4.218466448550319	   6.230483318792681	   0.320675820981119
    2	    0	   5.370049314144351	 -16.310293329486285	 -16.310293329486285	   4.407881347169742	   6.444010043310271	   0.319141586334134
    2	    0	   5.554117486017097	 -16.228926599779157	 -16.228926599779157	   4.601367534885637	   6.663672282327471	   0.317547992973637
    2	    0	   5.743504469444626	 -16.146532143052777	 -16.146532143052777	   4.800703960955268	   6.889646689105178	   0.315868825495400
    2	    0	   5.938363956160092	 -16.063140448203530	 -16.063140448203530	   5.004665950228710	   7.122115002541406	   0.314123682404963
    2	    0	   6.138854078954332	 -15.978879043181042	 -15.978879043181042	   5.191153793067831	   7.361264193782289	   0.312520639650941
    2	    0	   6.345137540004107	 -15.893898752796252	 -15.893898752796252	   5.403078334598199	   7.607286617054160	   0.310712816603963
    2	    0	   6.557381742908535	 -15.808117264037676	 -15.808117264037676	   5.621147725276932	   7.860380164838897	   0.308853925993565
    2	    0	   6.775758928540808	 -15.721587572859017	 -15.721587572859017	   5.844643443733351	   8.120748427518015	   0.306950193802021
    2	    0	   7.000446314825505	 -15.634381020110494	 -15.634381020110494	   6.073270988381882	   8.388600857614721	   0.305010589962408
    2	    0	   7.231626240554826	 -15.546588972148141	 -15.546588972148141	   6.307033174250509	   8.664152938766696	   0.303039911317687
    2	    0	   7.469486313360592	 -15.458218849668123	 -15.458218849668123	   6.548228062790630	   8.947626359566364	   0.301021462462148
    2	    0	   7.714219561961972	 -15.369300418809225	 -15.369300418809225	   6.775759310287543	   9.239249192409160	   0.299142213829931
    2	    0	   7.966024592812593	 -15.279955606920250	 -15.279955606920250	   7.017620332295264	   9.539256077494477	   0.297178626957282
    2	    0	   8.225105751274045	 -15.190112150731039	 -15.190112150731039	   7.278136355880918	   9.847888412127977	   0.295108599734607
    2	    0	   8.491673287446705	 -15.099786255549308	 -15.099786255549308	   7.545760418587953	  10.165394545478451	   0.293025706504857
    2	    0	   8.765943526792318	 -15.009012349957956	 -15.009012349957956	   7.820414541158105	  10.492029978946533	   0.290937130190309
    2	    0	   9.048139045686920	 -14.917823430083319	 -14.917823430083319	   8.102856276917072	  10.828057572307378	   0.288843793336966
    2	    0	   9.338488852046499	 -14.826239731900658	 -14.826239731900658	   8.393094054945292	  11.173747755793874	   0.286738924034777
    2	    0	   9.637228571171983	 -14.734307236654001	 -14.734307236654001	   8.690666885883115	  11.529378748291848	   0.284623290087352
    2	    0	   9.944600636964415	 -14.642150270062356	 -14.642150270062356	   8.993801559122792	  11.895236781823664	   0.282492026698113
    2	    0	  10.260854488665400	 -14.549760448468110	 -14.549760448468110	   9.307396262773915	  12.271616332501599	   0.280318477942090
    2	    0	  10.586246773282603	 -14.457105505680405	 -14.457105505680405	   9.630614547924317	  12.658820358137786	   0.278125535482834
    2	    0	  10.921041553864477	 -14.364233232319974	 -14.364233232319974	   9.944602118605435	  13.057160542702693	   0.276055716165712
    2	    0	  11.265510523793269	 -14.271214627554757	 -14.271214627554757	  10.260857868337173	  13.466957547829766	   0.274025618165371
