 PROD	               ASSET	             saveWW0	             saveUS0	             saveUL0	             saveWW1	             saveUS1	             saveUL1
    0	   0.000000000000000	   0.000000000000000	   0.042079637009351	   0.000000000000000	   0.000000000000000	   0.028895886812335	   0.000000000000000
    0	   0.028895878633786	   0.000000000000000	   0.063780378597293	   0.000000000000000	   0.000000000000000	   0.028895890888240	   0.000000000000000
    0	   0.058626729069591	   0.024063957383183	   0.089216692333257	   0.028895880128533	   0.024063957383183	   0.028895878701317	   0.000000000000000
    0	   0.089216678551268	   0.028895882138854	   0.120690544497475	   0.028895889718642	   0.028895882138854	   0.058626722217188	   0.028895877024239
    0	   0.120690551500581	   0.055469897744622	   0.125056604793625	   0.058626734922541	   0.056187208753297	   0.082152371081340	   0.028895890697072
    0	   0.153073889662773	   0.073987859642831	   0.153073889617864	   0.089216655018602	   0.074297492445005	   0.089216691085433	   0.028895894275909
    0	   0.186392972834257	   0.089216712729709	   0.185318892149839	   0.111386487888169	   0.089216712729709	   0.117477738754177	   0.058626709832253
    0	   0.220674840189252	   0.119575883804835	   0.211198634211199	   0.120690560414463	   0.119733096514371	   0.120690531905502	   0.074725620320163
    0	   0.255947312222677	   0.143369258175829	   0.245097723448347	   0.153073894098829	   0.143614707598031	   0.141318424172471	   0.089216672842869
    0	   0.292239013327094	   0.164553916513553	   0.264343195012809	   0.186392948652013	   0.164679407375194	   0.153073946927253	   0.119427832180481
    0	   0.329579395022038	   0.186392976536620	   0.297152014757025	   0.216807204922949	   0.186392976536620	   0.186392911421458	   0.120690606938949
    0	   0.367998759854577	   0.220674839512728	   0.329579384825147	   0.254718339171870	   0.220674839512728	   0.208301201547302	   0.151232182585878
    0	   0.407528285990505	   0.247413761739815	   0.366940785952865	   0.277606381628247	   0.247449738852191	   0.237957966276739	   0.158596763012506
    0	   0.448200052516108	   0.276760696029299	   0.398700098441694	   0.314399371115277	   0.276770654732564	   0.255947340888871	   0.186392996916190
    0	   0.490047065471057	   0.305363573529473	   0.431609582973265	   0.340477373654100	   0.305363842837124	   0.292238902188468	   0.220674826497577
    0	   0.533103284633538	   0.330875118449554	   0.466507702208810	   0.375350311309541	   0.330865652855749	   0.327402555434869	   0.255947255025616
    0	   0.577403651079368	   0.367998817529985	   0.506106982605434	   0.411397702904409	   0.367998817529985	   0.342272504950978	   0.277356104067974
    0	   0.622984115537448	   0.407528262925109	   0.540408633840287	   0.449408686591318	   0.407528262925109	   0.369705244943218	   0.310136495705181
    0	   0.669881667564581	   0.446379442111992	   0.581744108907204	   0.492085360613247	   0.446334156880007	   0.407528318218240	   0.329579536131913
    0	   0.718134365563312	   0.481833383274462	   0.624178083196987	   0.533103320862146	   0.481799733892684	   0.448200019224226	   0.367998736502859
    0	   0.767781367667167	   0.519406687307064	   0.669881541817495	   0.577403596508092	   0.519369656020612	   0.488658020671969	   0.407528179596070
    0	   0.818862963518346	   0.555230401815610	   0.718134189001563	   0.622984032588902	   0.555195203201730	   0.527686226557780	   0.448199892328520
    0	   0.871420606963662	   0.593939905237726	   0.764084931808689	   0.669881688811542	   0.593902608383766	   0.560349549047056	   0.487638206571443
    0	   0.925496949695250	   0.636699190451553	   0.811323359521112	   0.718134494261410	   0.636665506733144	   0.601128342442312	   0.530033617527965
    0	   0.981135875863370	   0.679981643980048	   0.860184886416906	   0.767781385520646	   0.679950146585039	   0.644412379858293	   0.566115666404846
    0	   1.038382537689358	   0.725375341672562	   0.911479944356537	   0.818862641713958	   0.725343795040504	   0.682726454984063	   0.610404649202060
    0	   1.097283392107659	   0.771266138569355	   0.960543078387097	   0.871420321809214	   0.771230642701802	   0.727632871202916	   0.657275973541652
    0	   1.157886238466658	   0.818863021927000	   1.014292083800274	   0.925496649809373	   0.818863021927000	   0.774497518610376	   0.699208145260168
    0	   1.220240257318908	   0.871420542373477	   1.070340918047012	   0.981105123257772	   0.871420542373477	   0.823098594502458	   0.747856170813463
    0	   1.284396050332241	   0.925496893729787	   1.125706576883015	   1.038382246275880	   0.925496893729787	   0.874711609868239	   0.798572931910287
    0	   1.350405681354142	   0.981135971785023	   1.183689958199181	   1.097283465844014	   0.981135971785023	   0.925841563115538	   0.851130139334048
    0	   1.418322718662713	   1.038382474882063	   1.244451088633202	   1.157885730804383	   1.038382474888190	   0.997132161041213	   0.906811049555473
    0	   1.488202278438519	   1.097283509546760	   1.306824879752738	   1.220240263138515	   1.097283509575174	   1.056799151946449	   0.978065456732314
    0	   1.560101069492589	   1.157885986599903	   1.370589534042274	   1.284395615996781	   1.157886633602654	   1.115280352735314	   1.037242400303345
    0	   1.634077439286873	   1.220240077092388	   1.437534656142117	   1.350405788660531	   1.220240334389556	   1.176059024511850	   1.097282966331412
    0	   1.710191421284502	   1.284395771947477	   1.516831097346062	   1.418322805327362	   1.284396204544632	   1.239435616275157	   1.157886264894193
    0	   1.788504783668267	   1.350405428372941	   1.590067725053530	   1.488202727978182	   1.350405878052210	   1.305020291222142	   1.220240247671845
    0	   1.869081079466878	   1.418322647580634	   1.662843969734777	   1.563749899760435	   1.418322936362089	   1.372700121363750	   1.284396023711153
    0	   1.951985698129646	   1.488201892621010	   1.738233604223125	   1.639125206299084	   1.488770146442920	   1.442858922537022	   1.350405724668252
    0	   2.037285918591472	   1.560101055622014	   1.815943105794437	   1.717175314684245	   1.561845052859628	   1.521072222940175	   1.422122552438840
    0	   2.125050963871200	   1.634077075751437	   1.895867469655059	   1.797613393475503	   1.637659706906756	   1.596623980410544	   1.502984722477923
