 PROD	               ASSET	   searchEffortVEUS1	   searchEffortWWUS1	   searchEffortVEUL1	   searchEffortWWUL1
    0	   0.000000000000000	   0.000686164303709	   1.212128826940384	   0.000000000000000	   1.580763516833950
    0	   0.028895878633786	   0.000686164353524	   1.212128814042466	   0.000000000000000	   1.580763516833950
    0	   0.058626729069591	   0.000686164204578	   1.212128852607141	   0.000000000000000	   1.580763516833950
    0	   0.089216678551268	   0.001231189405684	   1.108826567318357	   0.000686156809970	   1.212128883927221
    0	   0.120690551500581	   0.001661834531754	   1.042870603698626	   0.000686164351187	   1.212128814647405
    0	   0.153073889662773	   0.001833099269996	   1.021370570908186	   0.000686164394927	   1.212128803322422
    0	   0.186392972834257	   0.002366061676471	   0.962949406608065	   0.001231189073589	   1.108826614732324
    0	   0.220674840189252	   0.002440290477650	   0.955881942967043	   0.001505379162106	   1.064579453906891
    0	   0.255947312222677	   0.002809825273423	   0.928409990750175	   0.001833098925172	   1.021370613175855
    0	   0.292239013327094	   0.003056262680218	   0.912086841968999	   0.002410723300540	   0.958670879083817
    0	   0.329579395022038	   0.003623015508092	   0.876922223750154	   0.002440291838161	   0.955881827632914
    0	   0.367998759854577	   0.003985144121883	   0.856771858652763	   0.003015702609553	   0.914678022874874
    0	   0.407528285990505	   0.004495698911296	   0.830045586712217	   0.003141042459331	   0.906419014915967
    0	   0.448200052516108	   0.004820108845458	   0.813968235370123	   0.003623017057818	   0.876922134977789
    0	   0.490047065471057	   0.005402920239364	   0.788517282426306	   0.004212974116165	   0.845036488772705
    0	   0.533103284633538	   0.005966014976671	   0.765774382894874	   0.004820107337111	   0.813968306905163
    0	   0.577403651079368	   0.006186538373235	   0.757650070461278	   0.005152192860514	   0.799106719345146
    0	   0.622984115537448	   0.006606529533963	   0.743030645823930	   0.005679388532633	   0.777067234101225
    0	   0.669881667564581	   0.007163088279793	   0.724940495036263	   0.006003638709459	   0.764332768545147
    0	   0.718134365563312	   0.007740663882559	   0.707564783264084	   0.006582919654183	   0.743831919035661
    0	   0.767781367667167	   0.008302211058440	   0.691925610544568	   0.007163086187244	   0.724940560372380
    0	   0.818862963518346	   0.008844292049099	   0.677726063998392	   0.007740661976171	   0.707564838413696
    0	   0.871420606963662	   0.009283291486137	   0.666974189361060	   0.008287336625370	   0.692325812955709
    0	   0.925496949695250	   0.009828851450976	   0.654262515053036	   0.008878400822239	   0.676862179256613
    0	   0.981135875863370	   0.010404714929178	   0.641549307084533	   0.009362190698703	   0.665101465567632
    0	   1.038382537689358	   0.010907920536246	   0.631090727778357	   0.009953811993359	   0.651437973370738
    0	   1.097283392107659	   0.011476870148403	   0.620002665087911	   0.010576804877085	   0.637892571213544
    0	   1.157886238466658	   0.012058120559427	   0.609234218190303	   0.011116217663243	   0.626964384640205
    0	   1.220240257318908	   0.012652601002488	   0.598738903807602	   0.011725701990942	   0.615327321067828
    0	   1.284396050332241	   0.013278466154202	   0.588258344738883	   0.012349396025921	   0.604025723369371
    0	   1.350405681354142	   0.013898127347312	   0.578413773108230	   0.012988573992581	   0.593047021189104
    0	   1.418322718662713	   0.019974408451039	   0.565112696447873	   0.013662611293394	   0.582096742265884
    0	   1.488202278438519	   0.030434235350762	   0.553726587763928	   0.016613823771579	   0.568832399928419
    0	   1.560101069492589	   0.040966151344114	   0.543098114700762	   0.026862551637426	   0.557354019421157
    0	   1.634077439286873	   0.051623478599650	   0.532742380128503	   0.037746641829008	   0.546212355607418
    0	   1.710191421284502	   0.062264758614398	   0.522587583710804	   0.048490994459659	   0.535699503294579
    0	   1.788504783668267	   0.072556371313366	   0.512721150494813	   0.059155562964731	   0.525527126236776
    0	   1.869081079466878	   0.082309707577014	   0.503215812930130	   0.069477809228185	   0.515676694145377
    0	   1.951985698129646	   0.091518656743809	   0.494023788491575	   0.079274882867034	   0.506191840321497
    0	   2.037285918591472	   0.100829657606437	   0.484196294075000	   0.088947476822381	   0.496625250729172
    0	   2.125050963871200	   0.109000753085628	   0.474927760202222	   0.098783694117469	   0.486463732943135
    0	   2.215352057247619	   0.116547610031895	   0.466051354741719	   0.107416770210042	   0.476760926366873
    0	   2.308262480058741	   0.123680325717784	   0.457395537956244	   0.115368835510053	   0.467455561765956
    0	   2.403857631171228	   0.130353168839858	   0.448996673732656	   0.122857208242972	   0.458409948868683
    0	   2.502215088168239	   0.136555991708429	   0.440894201940243	   0.129839165661187	   0.449654926407509
    0	   2.603414670305364	   0.142372674264187	   0.433040968735060	   0.136304000112710	   0.441228546134089
    0	   2.707538503285713	   0.147928009757698	   0.425296323676993	   0.142343723212742	   0.433080583723245
    0	   2.814671085906746	   0.153326611008827	   0.417437337037607	   0.148092821145315	   0.425063460168892
    0	   2.924899358632921	   0.158389031605001	   0.409880943772803	   0.153662026022565	   0.416940745875437
    0	   3.038312774149804	   0.163357381338599	   0.402476671415140	   0.158877359344846	   0.409146009630762
    0	   3.155003369956905	   0.168454100513565	   0.395138270572283	   0.163916186536965	   0.401640170920846
    0	   3.275065843058154	   0.173840388958324	   0.387972476176587	   0.168708452031288	   0.394771457663434
    0	   3.398597626810607	   0.179502585102316	   0.381213887870031	   0.174022865175370	   0.387756087759621
    0	   3.525698969993787	   0.186370946592342	   0.374101901257392	   0.180661772290406	   0.380021208371707
    0	   3.656473018163779	   0.193284537464271	   0.366789554960380	   0.188049774780079	   0.372338070411886
    0	   3.791025897358140	   0.199870961337416	   0.359633610478828	   0.195063590372440	   0.364869904683222
    0	   3.929466800219529	   0.206814428324390	   0.352193438787477	   0.201732564681689	   0.357571683797316
