 PROD	               ASSET	   searchEffortVEUS1	   searchEffortWWUS1	   searchEffortVEUL1	   searchEffortWWUL1
    0	   0.000000000000000	   0.000685655183193	   1.212079178480232	   0.000000000000000	   1.580701213621436
    0	   0.028895878633786	   0.000685655179795	   1.212079179360919	   0.000000000000000	   1.580701213621436
    0	   0.058626729069591	   0.000685655119027	   1.212079195107204	   0.000000000000000	   1.580701213621436
    0	   0.089216678551268	   0.001230240247344	   1.108778097847044	   0.000685655109973	   1.212079197453269
    0	   0.120690551500581	   0.001665910898972	   1.042072941001567	   0.000685655130126	   1.212079192231070
    0	   0.153073889662773	   0.001830811288087	   1.021370205314253	   0.000685655349402	   1.212079135412155
    0	   0.186392972834257	   0.002361028874185	   0.963124287674717	   0.001230240433484	   1.108778071249971
    0	   0.220674840189252	   0.002436929164979	   0.955881548358732	   0.001510657880362	   1.063563960283926
    0	   0.255947312222677	   0.002807326910237	   0.928275601542546	   0.001830811425959	   1.021370188062400
    0	   0.292239013327094	   0.003050709434720	   0.912110142216850	   0.002407127999097	   0.958697936980215
    0	   0.329579395022038	   0.003615418112432	   0.876961408120464	   0.002436929239272	   0.955881542278871
    0	   0.367998759854577	   0.003977373542421	   0.856766909393437	   0.003013891551101	   0.914468400757552
    0	   0.407528285990505	   0.004491670014640	   0.829921570677423	   0.003138782700612	   0.906207767858211
    0	   0.448200052516108	   0.004816483452666	   0.813956226441393	   0.003615419748008	   0.876961314094956
    0	   0.490047065471057	   0.005391967528877	   0.788514722894180	   0.004204370523058	   0.845043458265576
    0	   0.533103284633538	   0.005954346750989	   0.765739827808284	   0.004816481670652	   0.813956311022455
    0	   0.577403651079368	   0.006173411712521	   0.757655982194348	   0.005146038177838	   0.799033314404504
    0	   0.622984115537448	   0.006594258586724	   0.742984200947801	   0.005669414425399	   0.776994579320100
    0	   0.669881667564581	   0.007148779334613	   0.724929302061373	   0.005990764929967	   0.764340561510580
    0	   0.718134365563312	   0.007725681930470	   0.707543415186527	   0.006569728204418	   0.743818149773268
    0	   0.767781367667167	   0.008287134631205	   0.691862598840993	   0.007148778091541	   0.724929341039619
    0	   0.818862963518346	   0.008829358214486	   0.677631361724700	   0.007725680292765	   0.707543462644901
    0	   0.871420606963662	   0.009264626205244	   0.666947636098012	   0.008273035873075	   0.692242968612736
    0	   0.925496949695250	   0.009811611308351	   0.654187430909594	   0.008864163237851	   0.676748244781017
    0	   0.981135875863370	   0.010386384870816	   0.641480097473052	   0.009344065189102	   0.665057528498393
    0	   1.038382537689358	   0.010887940565148	   0.631029334188884	   0.009937259591518	   0.651347025658517
    0	   1.097283392107659	   0.011455967510520	   0.619936301930640	   0.010558653149374	   0.637809220952766
    0	   1.157886238466658	   0.012035687513984	   0.609171426130474	   0.011096396773561	   0.626891654047204
    0	   1.220240257318908	   0.012629061094301	   0.598676872453347	   0.011704856446969	   0.615249021896237
    0	   1.284396050332241	   0.013255513439597	   0.588177519853525	   0.012327268162956	   0.603947773988178
    0	   1.350405681354142	   0.013872249358606	   0.578350123839588	   0.012965569193896	   0.592971725679464
    0	   1.418322718662713	   0.018783334285853	   0.565243451762623	   0.013639237824711	   0.582003549528865
    0	   1.488202278438519	   0.029217902346451	   0.553888833318168	   0.014336346167132	   0.571954387102647
    0	   1.560101069492589	   0.039721425549772	   0.543255829062355	   0.025695742570648	   0.557475504166732
    0	   1.634077439286873	   0.050399793528764	   0.532885967049401	   0.036483215991642	   0.546388127639157
    0	   1.710191421284502	   0.061084987692656	   0.522713377238357	   0.047227845114815	   0.535873814278221
    0	   1.788504783668267	   0.071411943711127	   0.512844870855722	   0.057923257754420	   0.525693599634540
    0	   1.869081079466878	   0.081225688409241	   0.503317337338115	   0.068283969045468	   0.515835952845008
    0	   1.951985698129646	   0.090414595922526	   0.494194288340412	   0.078134708433750	   0.506336712816538
    0	   2.037285918591472	   0.099787815044053	   0.484378850372999	   0.087836893683805	   0.496780422347411
    0	   2.125050963871200	   0.108028029793493	   0.475085128418862	   0.097737281848954	   0.486635711230657
    0	   2.215352057247619	   0.115609983196284	   0.466203269676355	   0.106441090620034	   0.476913602312042
    0	   2.308262480058741	   0.122758537263116	   0.457553073446914	   0.114430864415480	   0.467602737360921
    0	   2.403857631171228	   0.129459961614322	   0.449139041986208	   0.121937220121666	   0.458563039072090
    0	   2.502215088168239	   0.135685792384427	   0.441031122070530	   0.128947644575739	   0.449793302682203
    0	   2.603414670305364	   0.141528569373701	   0.433169341963182	   0.135436127736317	   0.441361287792556
    0	   2.707538503285713	   0.147094899949386	   0.425445529176846	   0.141502611170256	   0.433204736796361
    0	   2.814671085906746	   0.152517987720402	   0.417585516725860	   0.147263288528212	   0.425208873487373
    0	   2.924899358632921	   0.157597226842475	   0.410023530197047	   0.152857251187906	   0.417085289182994
    0	   3.038312774149804	   0.162563040591741	   0.402623096270545	   0.158089537783222	   0.409284182637753
    0	   3.155003369956905	   0.167634337363601	   0.395294364200887	   0.163106845739524	   0.401808664315078
    0	   3.275065843058154	   0.172957138311730	   0.388151159241732	   0.167876142536410	   0.394944178302443
    0	   3.398597626810607	   0.178556116839383	   0.381401352520514	   0.173143087445173	   0.387928440018547
    0	   3.525698969993787	   0.185316792262910	   0.374309883723576	   0.179656668877716	   0.380253459586461
    0	   3.656473018163779	   0.192259974720680	   0.366994383878142	   0.187005889935604	   0.372542223364912
    0	   3.791025897358140	   0.198871269058510	   0.359836741594525	   0.194049396686385	   0.365070463570890
    0	   3.929466800219529	   0.205176748025488	   0.352824464311798	   0.200743332148036	   0.357770548885872
