 TYPE	 PROD	               ASSET	              VEtoWW
    0	    0	   0.000000000000000	   0.000003101058272
    1	    0	   0.000000000000000	   0.000003694888100
    0	    0	   0.028895878633786	   0.000001779015631
    1	    0	   0.028895878633786	   0.000003268730394
    0	    0	   0.058626729069591	   0.000001695111675
    1	    0	   0.058626729069591	   0.000001657254933
    0	    0	   0.089216678551268	   0.000001370948264
    1	    0	   0.089216678551268	   0.000002331987238
    0	    0	   0.120690551500581	   0.000001234386987
    1	    0	   0.120690551500581	   0.000001047439367
    0	    0	   0.153073889662773	   0.000001239910074
    1	    0	   0.153073889662773	   0.000001517019165
    0	    0	   0.186392972834257	   0.000001316157649
    1	    0	   0.186392972834257	   0.000001406487941
    0	    0	   0.220674840189252	   0.000001740694378
    1	    0	   0.220674840189252	   0.000001167316915
    0	    0	   0.255947312222677	   0.000001827401926
    1	    0	   0.255947312222677	   0.000001229783268
    0	    0	   0.292239013327094	   0.000002359137316
    1	    0	   0.292239013327094	   0.000001502592657
    0	    0	   0.329579395022038	   0.000002485867236
    1	    0	   0.329579395022038	   0.000001670284459
    0	    0	   0.367998759854577	   0.000002432447151
    1	    0	   0.367998759854577	   0.000001577066425
    0	    0	   0.407528285990505	   0.000002547019038
    1	    0	   0.407528285990505	   0.000001562825573
    0	    0	   0.448200052516108	   0.000003470406189
    1	    0	   0.448200052516108	   0.000002003972439
    0	    0	   0.490047065471057	   0.000003559843263
    1	    0	   0.490047065471057	   0.000002186352914
    0	    0	   0.533103284633538	   0.000008656125292
    1	    0	   0.533103284633538	   0.000002482623163
    0	    0	   0.577403651079368	   0.000009959351068
    1	    0	   0.577403651079368	   0.000002517652149
    0	    0	   0.622984115537448	   0.000012281369565
    1	    0	   0.622984115537448	   0.000007498147929
    0	    0	   0.669881667564581	   0.000016190831477
    1	    0	   0.669881667564581	   0.000018449675628
    0	    0	   0.718134365563312	   0.000016909410493
    1	    0	   0.718134365563312	   0.000016913757495
    0	    0	   0.767781367667167	   0.000016770351009
    1	    0	   0.767781367667167	   0.000010931698885
    0	    0	   0.818862963518346	   0.000016864398044
    1	    0	   0.818862963518346	   0.000000240496134
    0	    0	   0.871420606963662	   0.000023032544026
    1	    0	   0.871420606963662	   0.000000850837385
    0	    0	   0.925496949695250	   0.000023098239555
    1	    0	   0.925496949695250	   0.000000854443664
    0	    0	   0.981135875863370	   0.000025310457664
    1	    0	   0.981135875863370	   0.000001073102290
    0	    0	   1.038382537689358	   0.000024132124117
    1	    0	   1.038382537689358	   0.000000926256314
    0	    0	   1.097283392107659	   0.000032544765431
    1	    0	   1.097283392107659	   0.000001743407922
    0	    0	   1.157886238466658	   0.000033013085557
    1	    0	   1.157886238466658	   0.000001589743062
    0	    0	   1.220240257318908	   0.000032785990135
    1	    0	   1.220240257318908	   0.000001602382108
    0	    0	   1.284396050332241	   0.000034094430862
    1	    0	   1.284396050332241	   0.000001783059889
    0	    0	   1.350405681354142	   0.000033101979536
    1	    0	   1.350405681354142	   0.000001928969455
    0	    0	   1.418322718662713	   0.000032896211522
    1	    0	   1.418322718662713	   0.000002016238626
    0	    0	   1.488202278438519	   0.000032720746503
    1	    0	   1.488202278438519	   0.000002040237400
    0	    0	   1.560101069492589	   0.000032517960723
    1	    0	   1.560101069492589	   0.000002057154090
    0	    0	   1.634077439286873	   0.000032293861149
    1	    0	   1.634077439286873	   0.000002067961339
    0	    0	   1.710191421284502	   0.000037037492944
    1	    0	   1.710191421284502	   0.000002616759433
    0	    0	   1.788504783668267	   0.000035925820692
    1	    0	   1.788504783668267	   0.000002549179834
    0	    0	   1.869081079466878	   0.000034722814153
    1	    0	   1.869081079466878	   0.000002473238425
    0	    0	   1.951985698129646	   0.000034680142683
    1	    0	   1.951985698129646	   0.000002378781795
    0	    0	   2.037285918591472	   0.000029214270894
    1	    0	   2.037285918591472	   0.000001763416169
    0	    0	   2.125050963871200	   0.000028900623125
    1	    0	   2.125050963871200	   0.000001697709308
    0	    0	   2.215352057247619	   0.000026790452701
    1	    0	   2.215352057247619	   0.000001622618140
    0	    0	   2.308262480058741	   0.000027998443045
    1	    0	   2.308262480058741	   0.000001504074779
    0	    0	   2.403857631171228	   0.000026260788104
    1	    0	   2.403857631171228	   0.000001357193548
    0	    0	   2.502215088168239	   0.000025478812350
    1	    0	   2.502215088168239	   0.000001195054492
    0	    0	   2.603414670305364	   0.000026592357442
    1	    0	   2.603414670305364	   0.000001231479989
    0	    0	   2.707538503285713	   0.000026501256507
    1	    0	   2.707538503285713	   0.000001125559967
    0	    0	   2.814671085906746	   0.000026598325951
    1	    0	   2.814671085906746	   0.000001025973614
    0	    0	   2.924899358632921	   0.000024056484061
    1	    0	   2.924899358632921	   0.000000671703132
    0	    0	   3.038312774149804	   0.000030389722978
    1	    0	   3.038312774149804	   0.000001187584098
    0	    0	   3.155003369956905	   0.000028736354427
    1	    0	   3.155003369956905	   0.000001019431517
    0	    0	   3.275065843058154	   0.000033625719144
    1	    0	   3.275065843058154	   0.000001378453153
    0	    0	   3.398597626810607	   0.000032222537670
    1	    0	   3.398597626810607	   0.000001227456930
    0	    0	   3.525698969993787	   0.000034596502971
    1	    0	   3.525698969993787	   0.000001552706659
    0	    0	   3.656473018163779	   0.000034662615601
    1	    0	   3.656473018163779	   0.000001543711553
    0	    0	   3.791025897358140	   0.000038472206948
    1	    0	   3.791025897358140	   0.000001844586999
    0	    0	   3.929466800219529	   0.000037669081126
    1	    0	   3.929466800219529	   0.000001851492947
    0	    0	   4.071908074607951	   0.000040245679253
    1	    0	   4.071908074607951	   0.000002058209138
    0	    0	   4.218465314773542	   0.000041101327823
    1	    0	   4.218465314773542	   0.000002097531221
    0	    0	   4.369257455163862	   0.000042825673834
    1	    0	   4.369257455163862	   0.000002254780493
    0	    0	   4.524406866941830	   0.000043425233701
    1	    0	   4.524406866941830	   0.000002336133568
    0	    0	   4.684039457292635	   0.000045612760568
    1	    0	   4.684039457292635	   0.000002459435270
    0	    0	   4.848284771600217	   0.000047899102854
    1	    0	   4.848284771600217	   0.000002552929586
    0	    0	   5.017276098576197	   0.000049128783331
    1	    0	   5.017276098576197	   0.000002667436450
    0	    0	   5.191150578426639	   0.000050240931396
    1	    0	   5.191150578426639	   0.000002771979566
    0	    0	   5.370049314144351	   0.000050052640917
    1	    0	   5.370049314144351	   0.000002859254412
    0	    0	   5.554117486017097	   0.000050832347007
    1	    0	   5.554117486017097	   0.000002949410107
    0	    0	   5.743504469444626	   0.000051793205360
    1	    0	   5.743504469444626	   0.000003026980622
    0	    0	   5.938363956160092	   0.000052470755017
    1	    0	   5.938363956160092	   0.000003089688587
    0	    0	   6.138854078954332	   0.000052937589582
    1	    0	   6.138854078954332	   0.000003130127775
    0	    0	   6.345137540004107	   0.000053926905890
    1	    0	   6.345137540004107	   0.000003184711045
    0	    0	   6.557381742908535	   0.000054653661169
    1	    0	   6.557381742908535	   0.000003213597011
    0	    0	   6.775758928540808	   0.000054961551699
    1	    0	   6.775758928540808	   0.000003231895817
    0	    0	   7.000446314825505	   0.000054731563847
    1	    0	   7.000446314825505	   0.000003260201728
    0	    0	   7.231626240554826	   0.000055000427057
    1	    0	   7.231626240554826	   0.000003275986845
    0	    0	   7.469486313360592	   0.000055164353898
    1	    0	   7.469486313360592	   0.000003279873317
    0	    0	   7.714219561961972	   0.000055383823917
    1	    0	   7.714219561961972	   0.000003288649697
    0	    0	   7.966024592812593	   0.000055508295407
    1	    0	   7.966024592812593	   0.000003293757905
    0	    0	   8.225105751274045	   0.000055718092871
    1	    0	   8.225105751274045	   0.000003297714373
    0	    0	   8.491673287446705	   0.000055871547713
    1	    0	   8.491673287446705	   0.000003293134830
    0	    0	   8.765943526792318	   0.000055903710291
    1	    0	   8.765943526792318	   0.000003285809459
    0	    0	   9.048139045686920	   0.000055898923692
    1	    0	   9.048139045686920	   0.000003277323148
    0	    0	   9.338488852046499	   0.000056150094800
    1	    0	   9.338488852046499	   0.000003266761905
    0	    0	   9.637228571171983	   0.000056593539449
    1	    0	   9.637228571171983	   0.000003249437847
    0	    0	   9.944600636964415	   0.000056426873163
    1	    0	   9.944600636964415	   0.000003233402976
    0	    0	  10.260854488665400	   0.000056297714481
    1	    0	  10.260854488665400	   0.000003219342966
    0	    0	  10.586246773282603	   0.000056207818994
    1	    0	  10.586246773282603	   0.000003201045485
    0	    0	  10.921041553864477	   0.000055797356628
    1	    0	  10.921041553864477	   0.000003182115889
    0	    0	  11.265510523793269	   0.000055293203285
    1	    0	  11.265510523793269	   0.000003160863831
    0	    0	  11.619933227270224	   0.000055030856892
    1	    0	  11.619933227270224	   0.000003138126443
    0	    0	  11.984597286171908	   0.000054839709633
    1	    0	  11.984597286171908	   0.000003115836742
    0	    0	  12.359798633461725	   0.000054535589786
    1	    0	  12.359798633461725	   0.000003088433846
    0	    0	  12.745841753346063	   0.000054173480585
    1	    0	  12.745841753346063	   0.000003062143865
    0	    0	  13.143039928369985	   0.000053724673761
    1	    0	  13.143039928369985	   0.000003034339118
    0	    0	  13.551715493652951	   0.000053416862943
    1	    0	  13.551715493652951	   0.000003004012245
    0	    0	  13.972200098470935	   0.000053058675107
    1	    0	  13.972200098470935	   0.000002972589100
    0	    0	  14.404834975397117	   0.000052697542863
    1	    0	  14.404834975397117	   0.000002940591597
    0	    0	  14.849971217219700	   0.000052306525210
    1	    0	  14.849971217219700	   0.000002905977685
    0	    0	  15.307970061861486	   0.000051918805672
    1	    0	  15.307970061861486	   0.000002871721943
    0	    0	  15.779203185532456	   0.000051493226554
    1	    0	  15.779203185532456	   0.000002835695056
    0	    0	  16.264053004353240	   0.000051043524603
    1	    0	  16.264053004353240	   0.000002797717905
    0	    0	  16.762912984694282	   0.000050587421163
    1	    0	  16.762912984694282	   0.000002759455122
    0	    0	  17.276187962482517	   0.000050112268721
    1	    0	  17.276187962482517	   0.000002719981520
    0	    0	  17.804294471734682	   0.000049612925579
    1	    0	  17.804294471734682	   0.000002679087376
    0	    0	  18.347661082583901	   0.000049100121541
    1	    0	  18.347661082583901	   0.000002637515855
    0	    0	  18.906728749073878	   0.000048584652580
    1	    0	  18.906728749073878	   0.000002595975586
    0	    0	  19.481951167002819	   0.000048042441540
    1	    0	  19.481951167002819	   0.000002552830113
    0	    0	  20.073795142107674	   0.000047475746478
    1	    0	  20.073795142107674	   0.000002508692970
    0	    0	  20.682740968887291	   0.000046907099246
    1	    0	  20.682740968887291	   0.000002464302868
    0	    0	  21.309282820372090	   0.000046329768278
    1	    0	  21.309282820372090	   0.000002419369538
    0	    0	  21.953929149156366	   0.000045723758417
    1	    0	  21.953929149156366	   0.000002373566292
    0	    0	  22.617203100018923	   0.000045104474527
    1	    0	  22.617203100018923	   0.000002327193936
    0	    0	  23.299642934466547	   0.000044500940929
    1	    0	  23.299642934466547	   0.000002281271969
    0	    0	  24.001802467545247	   0.000043862118093
    1	    0	  24.001802467545247	   0.000002234025928
    0	    0	  24.724251517273323	   0.000043196946900
    1	    0	  24.724251517273323	   0.000002186524698
    0	    0	  25.467576367061440	   0.000042559088490
    1	    0	  25.467576367061440	   0.000002139183517
    0	    0	  26.232380241494525	   0.000041893926678
    1	    0	  26.232380241494525	   0.000002091120992
    0	    0	  27.019283795861874	   0.000041168189766
    1	    0	  27.019283795861874	   0.000002042947067
    0	    0	  27.828925619832713	   0.000040500239597
    1	    0	  27.828925619832713	   0.000001995063003
    0	    0	  28.661962755685852	   0.000039800034711
    1	    0	  28.661962755685852	   0.000001946664324
    0	    0	  29.519071231514047	   0.000038944183778
    1	    0	  29.519071231514047	   0.000001898011596
    0	    0	  30.400946609835739	   0.000038256852465
    1	    0	  30.400946609835739	   0.000001850261447
    0	    0	  31.308304552059560	   0.000037500171280
    1	    0	  31.308304552059560	   0.000001801582146
    0	    0	  32.241881399259285	   0.000036184678997
    1	    0	  32.241881399259285	   0.000001753016080
    0	    0	  33.202434769730999	   0.000035517480910
    1	    0	  33.202434769730999	   0.000001705949347
    0	    0	  34.190744173817144	   0.000034748986032
